No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1,A1BG,1,16,726,2.203856749
2,A1CF,29974,7,717,0.976290098
3,A2LD1,87769,2,717,0.278940028
4,A2M,2,35,726,4.820936639
5,A2ML1,144568,55,726,7.575757576
6,A3GALT2P,127550,9,717,1.255230126
7,A4GALT,53947,18,726,2.479338843
8,A4GNT,51146,9,726,1.239669421
9,AAAS,8086,13,726,1.790633609
10,AACS,65985,18,726,2.479338843
11,AADAC,13,9,726,1.239669421
12,AADACL2,344752,11,717,1.534170153
13,AADACL3,126767,11,717,1.534170153
14,AADACL4,343066,16,717,2.231520223
15,AADAT,51166,10,726,1.377410468
16,AAGAB,79719,5,726,0.688705234
17,AAK1,22848,14,717,1.952580195
18,AAMP,14,13,726,1.790633609
19,AANAT,15,9,717,1.255230126
20,AARS,16,25,726,3.443526171
21,AARS2,57505,33,726,4.545454545
22,AARSD1,80755,16,726,2.203856749
23,AASDH,132949,27,726,3.719008264
24,AASDHPPT,60496,8,726,1.101928375
25,AASS,10157,24,726,3.305785124
26,AATK,9625,26,717,3.626220363
27,ABAT,18,10,726,1.377410468
28,ABCA1,19,66,743,8.882907133
29,ABCA10,10349,34,726,4.683195592
30,ABCA12,26154,76,726,10.46831956
31,ABCA13,154664,104,717,14.50488145
32,ABCA2,20,46,726,6.336088154
33,ABCA3,21,53,743,7.133243607
34,ABCA4,24,54,743,7.267833109
35,ABCA5,23461,38,726,5.23415978
36,ABCA6,23460,45,743,6.056527591
37,ABCA7,10347,55,726,7.575757576
38,ABCA8,10351,43,726,5.922865014
39,ABCA9,10350,38,726,5.23415978
40,ABCB1,5243,39,743,5.248990579
41,ABCB10,23456,7,743,0.942126514
42,ABCB11,8647,28,743,3.768506057
43,ABCB4,5244,37,726,5.096418733
44,ABCB5,340273,25,717,3.486750349
45,ABCB6,10058,24,743,3.230148048
46,ABCB7,22,17,726,2.341597796
47,ABCB8,11194,23,743,3.095558546
48,ABCB9,23457,18,726,2.479338843
49,ABCC1,4363,47,726,6.473829201
50,ABCC10,89845,26,726,3.581267218
51,ABCC11,85320,32,726,4.407713499
52,ABCC12,94160,49,726,6.749311295
53,ABCC2,1244,26,726,3.581267218
54,ABCC3,8714,30,726,4.132231405
55,ABCC4,10257,35,717,4.881450488
56,ABCC5,10057,49,743,6.594885599
57,ABCC6,368,27,726,3.719008264
58,ABCC8,6833,45,726,6.198347107
59,ABCC9,10060,34,726,4.683195592
60,ABCD1,215,24,726,3.305785124
61,ABCD2,225,19,726,2.61707989
62,ABCD3,5825,11,726,1.515151515
63,ABCD4,5826,15,743,2.01884253
64,ABCE1,6059,17,726,2.341597796
65,ABCF1,23,22,726,3.03030303
66,ABCF2,10061,9,717,1.255230126
67,ABCF3,55324,17,726,2.341597796
68,ABCG1,9619,17,717,2.370990237
69,ABCG2,9429,23,726,3.168044077
70,ABCG4,64137,22,726,3.03030303
71,ABCG5,64240,18,726,2.479338843
72,ABCG8,64241,17,726,2.341597796
73,ABHD1,84696,3,726,0.41322314
74,ABHD10,55347,6,726,0.826446281
75,ABHD11,83451,11,726,1.515151515
76,ABHD12,26090,7,717,0.976290098
77,ABHD12B,145447,7,717,0.976290098
78,ABHD13,84945,6,726,0.826446281
79,ABHD14A,25864,1,726,0.137741047
80,ABHD14B,84836,5,726,0.688705234
81,ABHD15,116236,10,726,1.377410468
82,ABHD16A,7920,13,726,1.790633609
83,ABHD16B,140701,7,726,0.964187328
84,ABHD2,11057,17,726,2.341597796
85,ABHD3,171586,4,726,0.550964187
86,ABHD4,63874,9,726,1.239669421
87,ABHD5,51099,6,726,0.826446281
88,ABHD6,57406,4,726,0.550964187
89,ABHD8,79575,9,726,1.239669421
90,ABI1,10006,8,726,1.101928375
91,ABI2,10152,8,726,1.101928375
92,ABI3,51225,10,726,1.377410468
93,ABI3BP,25890,30,717,4.184100418
94,ABL1,25,24,717,3.347280335
95,ABL2,27,30,717,4.184100418
96,ABLIM1,3983,11,717,1.534170153
97,ABLIM2,84448,12,717,1.673640167
98,ABLIM3,22885,21,726,2.892561983
99,ABO,28,4,726,0.550964187
100,ABP1,26,19,743,2.557200538
101,ABR,29,30,726,4.132231405
102,ABRA,137735,8,726,1.101928375
103,ABRACL,58527,1,717,0.139470014
104,ABT1,29777,12,726,1.652892562
105,ABTB1,80325,18,726,2.479338843
106,ABTB2,25841,22,717,3.068340307
107,AC002472.13,400891,4,717,0.557880056
108,AC010872_2,100129278,3,717,0.418410042
109,AC012100.1,84888,10,717,1.394700139
110,AC087645.2,100996291,2,717,0.278940028
111,AC129492.6,107985075,3,717,0.418410042
112,AC133485.1,729264,3,717,0.418410042
113,ACAA1,30,13,726,1.790633609
114,ACAA2,10449,4,726,0.550964187
115,ACACB,32,54,726,7.438016529
116,ACAD10,80724,17,726,2.341597796
117,ACAD11,84129,17,726,2.341597796
118,ACAD8,27034,10,726,1.377410468
119,ACAD9,28976,6,726,0.826446281
120,ACADL,33,9,726,1.239669421
121,ACADM,34,8,743,1.076716016
122,ACADS,35,12,726,1.652892562
123,ACADSB,36,8,726,1.101928375
124,ACADVL,37,10,726,1.377410468
125,ACAN,176,59,717,8.228730823
126,ACAP1,9744,18,743,2.422611036
127,ACAP2,23527,16,743,2.153432032
128,ACAP3,116983,20,717,2.789400279
129,ACAT1,38,9,726,1.239669421
130,ACAT2,39,8,726,1.101928375
131,ACBD3,64746,12,726,1.652892562
132,ACBD4,79777,8,717,1.115760112
133,ACBD5,91452,9,717,1.255230126
134,ACBD6,84320,8,726,1.101928375
135,ACBD7,414149,2,726,0.275482094
136,ACCN1,40,20,717,2.789400279
137,ACCN2,41,21,726,2.892561983
138,ACCN3,9311,20,717,2.789400279
139,ACCN4,55515,17,726,2.341597796
140,ACCN5,51802,15,726,2.066115702
141,ACCS,84680,12,743,1.615074024
142,ACCSL,390110,14,726,1.928374656
143,ACD,65057,13,726,1.790633609
144,ACE,1636,27,726,3.719008264
145,ACE2,59272,16,726,2.203856749
146,ACER1,125981,13,726,1.790633609
147,ACER2,340485,1,726,0.137741047
148,ACER3,55331,5,726,0.688705234
149,ACHE,43,9,717,1.255230126
150,ACIN1,22985,38,743,5.114401077
151,ACLY,47,20,726,2.754820937
152,ACMSD,130013,13,726,1.790633609
153,ACN9,360012,2,726,0.275482094
154,ACO1,48,17,726,2.341597796
155,ACO2,50,24,743,3.230148048
156,ACOT1,641371,3,726,0.41322314
157,ACOT11,26027,12,717,1.673640167
158,ACOT12,134526,17,726,2.341597796
159,ACOT13,55856,5,726,0.688705234
160,ACOT2,10965,7,726,0.964187328
161,ACOT4,122970,6,726,0.826446281
162,ACOT6,641372,2,726,0.275482094
163,ACOT7,11332,7,717,0.976290098
164,ACOT8,10005,7,726,0.964187328
165,ACOT9,23597,11,717,1.534170153
166,ACOX1,51,13,717,1.813110181
