Gene,Entrez,Fold change
CLDN1,9076,4.46
ENC1,8507,3.33
PVT1,5820,1.78
FABP6,2172,2.89
PACSIN2,11252,-1.23
ASCL2,430,3.9
RBM12B,389677,1.24
SCARA5,286133,-3.7
SLC11A2,4891,2.6
FOXQ1,94234,5.55
FAM214A,56204,-1.38
MIB2,142678,-1.3
SLC6A6,6533,3.25
CPM,1368,-2.46
CASZ1,54897,-1.06
HILPDA,29923,2.49
AJUBA,84962,3.45
AXIN2,8313,3.36
MRE11A,4361,1.8
DIEXF,27042,1.43
TRIM59,286827,2.05
PPM1H,57460,2.8
MMP28,79148,-3.56
DENND2A,27147,-1.24
ABCA8,10351,-3.59
SCD,6319,9.81E-01
CHGA,1113,-1.99
BRWD3,254065,1.74
LPAR1,1902,-2.48
C10orf54,64115,-1.67
GART,2618,1.47
MGA,23269,1.48
MYC,4609,2.93
FAM60A,58516,2.7
ST6GALNAC6,30815,-2.37
TBC1D16,125058,1.29
FOSL2,2355,-1.99
UTP23,84294,1.4
IRF2BP2,359948,9.33E-01
PTPN4,5775,1.34
SOX4,6659,2.4
SEMA6A,57556,-2.2
PLEKHA8P1,51054,1.15
CEMIP,57214,4.04
DCAF16,54876,1.64
IL6ST,3572,-1.2
IRAK1BP1,134728,2.2
SYNCRIP,10492,1.77
VSNL1,7447,2.97
WIPI2,26100,1.05
EIF4B,1975,1.42
DKC1,1736,1.74
UGP2,7360,-1.55
MTERF3,51001,1.76
JUND,3727,-1.14
CEP57,9702,2.03
ABI3BP,25890,-3.7
FBXW5,54461,-1.32
GCNT2,2651,-3.56
SART3,9733,1.14
SPIB,6689,-2.51
MED1,5469,9.06E-01
IL6R,3570,-2.47
SDAD1,55153,1.39
ADH1B,125,-4.29
TP53INP2,58476,-2.56
EPB41L3,23136,-2.01
HIGD1A,25994,-1.29
NEDD4L,23327,-1.56
UBE2W,55284,1.26
TBL1XR1,79718,9.29E-01
HOMER1,9456,2.09
MET,4233,2.32
ZNF443,10224,1.09
GTPBP10,85865,1.44
AASDHPPT,60496,1.68
SYTL4,94121,-2.17
KRR1,11103,1.19
ZNF277,11179,1.66
SMPD1,6609,-2.52
PPAT,5471,2.54
SLC9A1,6548,-1.66
PWP1,11137,1.21
CCNB1IP1,57820,1.83
TGDS,23483,1.57
STIM1,6786,-6.95E-01
BAG1,573,-1.18
NBN,4683,1.65
TRIB3,57761,2.44
SNRK,54861,-1.47
CAMTA2,23125,-1.48
MACC1,346389,2.26
TPP2,7174,1.32
DHDDS,79947,-1.59
CRNDE,643911,3.92
GBA2,57704,-1.27
NFE2L3,9603,2.64
ATP11A,23250,2.78
ZNF3,7551,1.04
