No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1,A1BG,1,1,5,20
2,A2ML1,144568,1,5,20
3,ABCA10,10349,1,5,20
4,ABCD2,225,1,5,20
5,ABCG1,9619,1,5,20
6,ABL1,25,2,7,28.57142857
7,ACACB,32,1,5,20
8,ACBD3,64746,1,5,20
9,ACVR2A,92,1,35,2.857142857
10,ADAM2,2515,1,5,20
11,ADAM9,8754,1,5,20
12,ADAMTS7,11173,1,5,20
13,ADAMTSL1,92949,1,5,20
14,ADAMTSL3,57188,1,5,20
15,ADCY10,55811,1,5,20
16,ADGB,79747,1,5,20
17,AFF4,27125,1,5,20
18,AKAP9,10142,1,5,20
19,AKR1B10,57016,1,5,20
20,AKR1E2,83592,1,5,20
21,AKT1,207,1,98,1.020408163
22,ALK,238,3,98,3.06122449
23,ALPK3,57538,1,5,20
24,AMER1,139285,1,80,1.25
25,ANKRD1,27063,1,5,20
26,ANKRD30A,91074,1,5,20
27,ANKS1B,56899,1,5,20
28,ANXA7,310,1,5,20
29,APC,324,4,98,4.081632653
30,APCS,325,1,5,20
31,APOB,338,1,5,20
32,AR,367,1,35,2.857142857
33,ARHGAP29,9411,1,5,20
34,ARID1A,8289,3,89,3.370786517
35,ARID1B,57492,2,6,33.33333333
36,ARID2,196528,3,35,8.571428571
37,ARPP21,10777,1,5,20
38,ASPM,259266,1,5,20
39,ASXL1,171023,1,6,16.66666667
40,ASXL2,55252,1,5,20
41,ATG2B,55102,1,5,20
42,ATM,472,1,6,16.66666667
43,ATOH8,84913,1,5,20
44,ATP12A,479,1,5,20
45,ATP6V1B1,525,1,5,20
46,ATP8A2,51761,1,5,20
47,ATRN,8455,1,5,20
48,ATRX,546,3,80,3.75
49,AURKA,6790,1,35,2.857142857
50,AVIL,10677,1,5,20
51,B3GNT3,10331,1,5,20
52,B4GALT3,8703,1,5,20
53,BAZ1A,11177,2,5,40
54,BCL11A,53335,3,8,37.5
55,BCL2L14,79370,1,5,20
56,BCL6,604,1,35,2.857142857
57,BCO2,83875,1,5,20
58,BIRC2,329,1,35,2.857142857
59,BLK,640,1,5,20
60,BLM,641,1,35,2.857142857
61,BMP7,655,1,5,20
62,BNC1,646,1,5,20
63,BPTF,2186,2,7,28.57142857
64,BRAF,673,1,100,1
65,BRAT1,221927,1,5,20
66,BRCA1,672,3,85,3.529411765
67,BRCA2,675,5,80,6.25
68,BRIP1,83990,2,5,40
69,BTBD11,121551,1,5,20
70,BTNL8,79908,1,5,20
71,BZRAP1,9256,1,5,20
72,C10orf71,118461,1,5,20
73,C11orf41,25758,2,5,40
74,C11orf80,79703,1,5,20
75,C12orf35,55196,1,5,20
76,C14orf126,112487,1,5,20
77,C14orf166,51637,1,5,20
78,C18orf34,374864,1,5,20
79,C1orf167,284498,1,5,20
80,C1orf54,79630,1,5,20
81,C22orf39,128977,1,5,20
82,C2orf67,151050,1,5,20
83,C2orf69,205327,1,5,20
84,C2orf73,129852,1,5,20
85,C3orf15,89876,1,5,20
86,C3orf63,23272,1,5,20
87,C3orf67,200844,1,5,20
88,C5orf51,285636,1,5,20
89,C6,729,1,5,20
90,C7orf60,154743,1,5,20
91,C8orf41,80185,1,5,20
92,C9orf131,138724,1,5,20
93,C9orf135,138255,1,5,20
94,C9orf153,389766,1,5,20
95,CACNA1A,773,1,5,20
96,CACNA1E,777,2,5,40
97,CACNA1F,778,1,5,20
98,CACNB1,782,1,5,20
99,CAND1,55832,1,5,20
100,CARD11,84433,1,80,1.25
101,CASKIN2,57513,1,5,20
102,CASP8,841,1,6,16.66666667
103,CBL,867,1,80,1.25
104,CBLN4,140689,1,5,20
105,CC2D1A,54862,1,5,20
106,CCDC25,55246,1,5,20
107,CCDC27,148870,1,5,20
108,CCDC36,339834,1,5,20
109,CCDC57,284001,1,5,20
110,CCDC88C,440193,1,5,20
111,CCDC9,26093,1,5,20
112,CCDC99,54908,1,5,20
113,CCIN,881,1,5,20
114,CCND2,894,1,35,2.857142857
115,CCT6B,10693,1,5,20
116,CD22,933,1,5,20
117,CD52,1043,1,5,20
118,CD79B,974,1,80,1.25
119,CD97,976,1,5,20
120,CDC73,79577,1,80,1.25
121,CDH1,999,4,104,3.846153846
122,CDH7,1005,1,5,20
123,CDKN2A,1029,1,98,1.020408163
124,CDRT4,284040,1,5,20
125,CEBPA,1050,2,80,2.5
126,CECR2,27443,1,5,20
127,CENPF,1063,1,5,20
128,CEP104,9731,1,5,20
129,CEP250,11190,1,5,20
130,CEP76,79959,1,5,20
131,CHD1,1105,2,35,5.714285714
132,CHD1L,9557,1,6,16.66666667
133,CHIC1,53344,1,5,20
134,CHST2,9435,1,5,20
135,CIB4,130106,1,5,20
136,CLTC,1213,1,5,20
137,CMAHP,8418,1,5,20
138,CMAS,55907,1,5,20
139,CNIH2,254263,1,5,20
140,CNKSR1,10256,1,5,20
141,CNKSR2,22866,1,5,20
142,COL17A1,1308,1,5,20
143,COL22A1,169044,1,35,2.857142857
144,COL28A1,340267,1,5,20
145,COL6A5,256076,1,5,20
146,COMTD1,118881,1,5,20
147,COPB1,1315,1,5,20
148,CREBBP,1387,6,80,7.5
149,CRKL,1399,1,35,2.857142857
150,CRLF3,51379,1,5,20
151,CSF2RB,1439,1,5,20
152,CTAGE5,4253,1,5,20
153,CTCF,10664,1,35,2.857142857
154,CTDSP1,58190,1,5,20
155,CTNNBL1,56259,1,5,20
156,CTSC,1075,1,5,20
157,CTSE,1510,1,5,20
158,CTSZ,1522,1,5,20
159,CUBN,8029,1,5,20
160,CUX1,1523,1,5,20
161,CYP1A1,1543,1,5,20
162,CYP27A1,1593,1,5,20
163,CYP4F2,8529,1,5,20
164,CYP7B1,9420,1,5,20
165,DAG1,1605,1,5,20
166,DAXX,1616,3,80,3.75
167,DDI1,414301,1,5,20
168,DDX19A,55308,1,5,20
169,DDX58,23586,1,5,20
170,DEK,7913,1,5,20
171,DET1,55070,1,5,20
172,DHTKD1,55526,1,5,20
173,DHX29,54505,1,5,20
174,DHX30,22907,1,5,20
175,DHX8,1659,1,5,20
176,DICER1,23405,3,80,3.75
177,DIEXF,27042,1,5,20
178,DLG5,9231,1,5,20
179,DLGAP4,22839,1,5,20
180,DMD,1756,1,5,20
181,DMRTA2,63950,1,5,20
182,DNAH14,127602,1,5,20
183,DNAH6,1768,1,5,20
184,DNAH7,56171,1,5,20
185,DNMT3A,1788,2,6,33.33333333
186,DOCK10,55619,2,5,40
187,DSG1,1828,1,5,20
188,DUSP10,11221,1,5,20
189,DUSP27,92235,1,5,20
190,DYNC1H1,1778,1,5,20
191,DYRK1A,1859,1,5,20
192,DYRK1B,9149,1,6,16.66666667
193,EFCAB7,84455,1,5,20
194,EFHD1,80303,1,5,20
195,EGFR,1956,2,98,2.040816327
196,EIF2C4,192670,1,5,20
197,ELK4,2005,1,5,20
198,ELL,8178,1,5,20
199,ELMO1,9844,1,5,20
200,ELOVL2,54898,1,5,20
201,ENSG00000166329,101927581,1,5,20
202,ENSG00000188974,285220,1,6,16.66666667
203,EP300,2033,4,80,5
204,EPDR1,54749,1,5,20
205,EPHA5,2044,1,35,2.857142857
206,EPHB4,2050,1,35,2.857142857
207,ERBB2,2064,2,98,2.040816327
208,ERI3,79033,1,5,20
209,ESR1,2099,112,1254,8.931419458
210,ETV2,2116,1,5,20
211,EYS,346007,1,5,20
212,EZH2,2146,1,6,16.66666667
213,FAAH,2166,1,5,20
214,FAM100B,283991,1,5,20
215,FAM124B,79843,1,5,20
216,FAM161A,84140,1,5,20
217,FAM179B,23116,1,5,20
218,FAM184B,27146,1,5,20
219,FAM193A,8603,1,5,20
220,FAM227A,646851,1,5,20
221,FAM46D,169966,1,5,20
222,FAM83D,81610,1,5,20
223,FAM84B,157638,1,5,20
224,FAM8A1,51439,2,5,40
225,FANCD2,2177,1,5,20
226,FARP1,10160,1,5,20
227,FAS,355,1,35,2.857142857
228,FAT3,120114,2,5,40
229,FAT4,79633,2,5,40
230,FBXL7,23194,1,5,20
231,FBXO15,201456,1,5,20
232,FBXW7,55294,1,6,16.66666667
233,FCAMR,83953,1,5,20
234,FCER2,2208,1,5,20
235,FCRLA,84824,1,5,20
236,FDXR,2232,1,5,20
237,FEZ1,9638,1,5,20
238,FGD6,55785,1,5,20
239,FGFR1,2260,1,153,0.653594771
240,FGFR2,2263,1,6,16.66666667
241,FHOD3,80206,1,5,20
242,FJX1,24147,1,5,20
243,FLNA,2316,1,5,20
244,FLT1,2321,1,6,16.66666667
245,FLT3,2322,2,98,2.040816327
246,FLT4,2324,1,5,20
247,FMNL2,114793,1,5,20
248,FN1,2335,1,5,20
249,FNBP4,23360,1,5,20
250,FOXA1,3169,1,35,2.857142857
251,FOXI2,399823,1,5,20
252,FOXL2,668,3,80,3.75
253,FOXP4,116113,1,6,16.66666667
254,FREM2,341640,1,5,20
255,FRMD8,83786,1,5,20
256,FSIP2,401024,1,5,20
257,FUT2,2524,1,5,20
258,FYN,2534,1,5,20
259,GAB2,9846,1,35,2.857142857
260,GABRA3,2556,1,5,20
261,GABRA6,2559,1,5,20
262,GABRR1,2569,1,5,20
263,GANAB,23193,1,5,20
264,GAS6,2621,1,5,20
265,GATA1,2623,1,6,16.66666667
266,GATA3,2625,14,80,17.5
267,GATAD2B,57459,1,5,20
268,GBP2,2634,1,5,20
269,GCDH,2639,1,5,20
270,GCK,2645,1,5,20
271,GGNBP1,449520,1,5,20
272,GHSR,2693,1,5,20
273,GLT1D1,144423,1,5,20
274,GMNN,51053,1,5,20
275,GMPR2,51292,1,5,20
276,GNAQ,2776,1,98,1.020408163
277,GPATCH8,23131,1,5,20
278,GPR124,25960,1,35,2.857142857
279,GPR142,350383,1,5,20
280,GPS2,2874,1,5,20
281,GRB7,2886,1,6,16.66666667
282,GRIN2A,2903,5,50,10
283,GRIN2D,2906,1,5,20
284,GTF2E1,2960,1,5,20
285,GTPBP3,84705,1,5,20
286,GUCY1A2,2977,2,7,28.57142857
287,H3F3A,3020,1,35,2.857142857
288,HCFC1R1,54985,1,5,20
289,HDAC5,10014,1,5,20
290,HEATR2,54919,1,5,20
291,HEATR5A,25938,1,5,20
292,HELQ,113510,1,5,20
293,HEXDC,284004,1,5,20
294,HHATL,57467,1,5,20
295,HIST1H3H,8357,1,5,20
296,HIST2H2BE,8349,1,5,20
297,HIVEP1,3096,1,5,20
298,HMX1,3166,1,5,20
299,HNF1A,6927,1,6,16.66666667
300,HOXA2,3199,1,5,20
301,HOXA3,3200,1,35,2.857142857
302,HOXB7,3217,1,5,20
303,HOXD10,3236,1,5,20
304,HRAS,3265,1,98,1.020408163
305,HSD17B8,7923,1,5,20
306,HSPA13,6782,1,5,20
307,HTATSF1,27336,1,5,20
308,HTR1A,3350,1,5,20
309,HUMPPA,30850,1,5,20
310,ICAM5,7087,1,5,20
311,IDH1,3417,2,98,2.040816327
312,IDH2,3418,1,80,1.25
313,IGF1R,3480,1,35,2.857142857
314,IGFN1,91156,2,5,40
315,IL6ST,3572,3,8,37.5
316,IMPAD1,54928,1,5,20
317,INSR,3643,1,6,16.66666667
318,INTS2,57508,2,5,40
319,INTS6,26512,1,5,20
320,IRS2,8660,4,35,11.42857143
321,IRS4,8471,1,5,20
322,ITGAX,3687,1,5,20
323,ITSN1,6453,1,5,20
324,IVNS1ABP,10625,1,5,20
325,JAK1,3716,3,80,3.75
326,JAK2,3717,3,98,3.06122449
327,JAK3,3718,1,98,1.020408163
328,KAT6B,23522,1,35,2.857142857
329,KDM5A,5927,1,5,20
330,KDM5C,8242,2,80,2.5
331,KDM6A,7403,2,7,28.57142857
332,KDR,3791,2,98,2.040816327
333,KIAA0753,9851,1,5,20
334,KIAA0913,23053,1,5,20
335,KIAA1409,57578,1,5,20
336,KIAA1524,57650,1,5,20
337,KIAA1549,57670,1,5,20
338,KIAA1683,80726,1,5,20
339,KIAA1731,85459,1,5,20
340,KIF21A,55605,1,5,20
341,KIF21B,23046,1,5,20
342,KIRREL2,84063,1,5,20
343,KIT,3815,2,98,2.040816327
344,KLHL17,339451,1,5,20
345,KLHL24,54800,1,5,20
346,KLHL26,55295,1,5,20
347,KMO,8564,1,5,20
348,KMT2A,4297,2,35,5.714285714
349,KMT2C,58508,19,80,23.75
350,KMT2D,8085,7,80,8.75
351,KRAS,3845,1,6,16.66666667
352,KRT10,3858,1,5,20
353,KRT76,51350,1,5,20
354,LACTB2,51110,1,5,20
355,LCTL,197021,1,5,20
356,LEKR1,389170,2,5,40
357,LFNG,3955,1,5,20
358,LHFPL2,10184,1,5,20
359,LINGO4,339398,1,5,20
360,LONP1,9361,1,5,20
361,LRBA,987,1,5,20
362,LRIG1,26018,1,5,20
363,LRP1,4035,1,5,20
364,LRPPRC,10128,1,5,20
365,LRRC1,55227,1,5,20
366,LRRC7,57554,1,5,20
367,LRRN4,164312,1,5,20
368,LRRTM4,80059,1,5,20
369,LSS,4047,1,5,20
370,LUC7L2,100996928,1,5,20
371,LY86,9450,1,5,20
372,LYST,1130,1,5,20
373,MACC1,346389,1,5,20
374,MAEA,10296,1,5,20
375,MAML2,84441,1,5,20
376,MAN2A1,4124,1,5,20
377,MAN2A2,4122,1,5,20
378,MANBA,4126,1,5,20
379,MAP1A,4130,1,5,20
380,MAP1B,4131,1,5,20
381,MAP2K2,5605,1,80,1.25
382,MAP2K4,6416,4,80,5
383,MAP3K12,7786,1,6,16.66666667
384,MAP3K1,4214,3,8,37.5
385,MAP3K4,4216,1,6,16.66666667
386,MAP3K5,4217,3,35,8.571428571
387,MAP4K4,9448,1,5,20
388,MAP4,4134,1,5,20
389,MAPKAP1,79109,1,5,20
390,MASP1,5648,1,5,20
391,MBD3,53615,1,5,20
392,MCM2,4171,1,5,20
393,MCTP2,55784,1,5,20
394,MED12,9968,1,6,16.66666667
395,MEN1,4221,1,80,1.25
396,MET,4233,7,98,7.142857143
397,MEX3A,92312,1,5,20
398,MFSD11,79157,1,5,20
399,MGRN1,23295,1,5,20
400,MLH1,4292,4,98,4.081632653
401,MLLT4,4301,1,5,20
402,MMP19,4327,1,5,20
403,MOGS,7841,1,5,20
404,MPL,4352,1,6,16.66666667
405,MREG,55686,1,5,20
406,MRPL38,64978,1,5,20
407,MRPS18C,51023,1,5,20
408,MSH6,2956,1,80,1.25
409,MTOR,2475,2,35,5.714285714
410,MUC16,94025,1,5,20
411,MUC19,283463,1,5,20
412,MYB,4602,1,6,16.66666667
413,MYBL1,4603,1,5,20
414,MYCN,4613,1,35,2.857142857
415,MYO15A,51168,1,5,20
416,MYO3A,53904,1,6,16.66666667
417,MYST3,7994,1,5,20
418,MYT1L,23040,1,5,20
419,NACC1,112939,1,5,20
420,NBAS,51594,1,5,20
421,NCOA1,8648,1,5,20
422,NCOA3,8202,1,35,2.857142857
423,NCOA7,135112,1,5,20
424,NCR3LG1,374383,1,5,20
425,NF1,4763,4,85,4.705882353
426,NFATC1,4772,1,5,20
427,NFE2L2,4780,1,80,1.25
428,NFRKB,4798,1,5,20
