Gene,Entrez,Fold change
Mar-01,55016,0.6109723
Dec-01,50514,-0.1775059
Mar-02,51257,0.2397633
Sep-02,4735,-0.1726613
Mar-03,115123,-0.6392702
Sep-04,5414,0.4521223
Mar-05,54708,-0.1386699
Mar-06,10299,0.2513396
Sep-06,23157,0.6518961
Mar-07,64844,-0.1674735
Sep-07,989,-0.2246366
Mar-08,220972,-0.083577
Sep-08,23176,0.1518773
Sep-09,10801,-0.4871288
Sep-10,151011,-0.1599837
Sep-11,55752,-0.1413985
Sep-15,9403,-0.2186194
A1CF,29974,0.052917
A2M,2,-0.2889821
A4GALT,53947,-0.0233704
A4GNT,51146,0.6063527
AAAS,8086,0.5067286
AACS,65985,0.285329
AADAC,13,0.3324648
AAGAB,79719,-0.0993159
AAK1,22848,-0.9566963
AAMDC,28971,0.2753551
AAMP,14,0.3084622
AANAT,15,0.0147455
AAR2,25980,0.1572465
AARS,16,0.4192831
AARSD1,80755,0.1444457
AASDHPPT,60496,0.0816728
AASS,10157,-0.3617731
AATF,26574,0.1356279
AATK,9625,0.0066147
ABAT,18,-0.2657681
ABCA1,19,-0.4872932
ABCA11P,79963,0.0636124
ABCA12,26154,0.2718768
ABCA2,20,0.3862853
ABCA3,21,0.7725887
ABCA4,24,0.7435607
ABCA5,23461,-0.4081975
ABCA6,23460,-0.0588658
ABCA7,10347,0.0757527
ABCA8,10351,0.0964642
ABCB1,5243,0.034019
ABCB11,8647,0.2505
ABCB4,5244,-0.2513973
ABCB6,10058,0.3823065
ABCB7,22,-0.0828966
ABCB8,11194,0.4880002
ABCB9,23457,0.4723521
ABCC1,4363,0.4460696
ABCC10,89845,0.4866441
ABCC2,1244,0.0080946
ABCC3,8714,0.4787507
ABCC4,10257,0.0240169
ABCC5,10057,0.2647444
ABCC6,368,-0.6247255
ABCC8,6833,0.3650175
ABCC9,10060,0.3344345
ABCD1,215,0.3708891
ABCD2,225,-0.5732206
ABCD3,5825,-0.2204987
ABCD4,5826,-0.1535106
ABCE1,6059,-0.1392011
ABCF1,23,0.1212273
ABCF2,10061,1.3395107
ABCF3,55324,-0.0055353
ABCG1,9619,-0.2647044
ABCG2,9429,0.1051047
ABCG4,64137,0.1904441
ABCG5,64240,0.2328006
ABHD10,55347,0.0470167
ABHD11,83451,-0.027116
ABHD14A,25864,-0.0947027
ABHD14A-ACY1,100526760,0.160659
ABHD17A,81926,0.6796893
ABHD17B,51104,-0.0060801
ABHD2,11057,-0.5386065
ABHD3,171586,0.2860312
ABHD4,63874,-0.0438127
ABHD5,51099,-0.2053775
ABHD6,57406,0.7017982
ABHD8,79575,-0.0949598
ABI1,10006,-0.2950672
ABI2,10152,0.7057356
ABI3BP,25890,-0.6061111
ABL1,25,0.0973467
ABL2,27,-0.2474116
ABLIM1,3983,-0.4661276
ABLIM3,22885,-0.2352017
ABO,28,-0.5751567
ABR,29,0.763523
ABT1,29777,0.0175986
ABTB2,25841,-0.252023
ACAA1,30,0.2991329
ACAA2,10449,0.5256779
ACACA,31,0.4162163
ACACB,32,0.6113308
ACAD10,80724,0.230321
ACAD8,27034,0.0810116
ACADL,33,0.8585721
ACADM,34,-0.029878
ACADS,35,0.0769129
ACADSB,36,0.0897433
ACADVL,37,0.5399202
ACAN,176,0.4019369
ACAP1,9744,0.5030539
ACAP2,23527,0.324792
ACAT1,38,0.0885462
ACAT2,39,-0.288564
ACBD3,64746,-0.2755559
ACBD4,79777,-0.2201006
ACD,65057,0.2298205
ACE,1636,-0.491033
ACE2,59272,-0.2117298
ACHE,43,-0.4267574
ACIN1,22985,1.1999614
ACKR1,2532,0.4183633
ACKR2,1238,-0.5872521
ACKR3,57007,-0.0426845
ACKR4,51554,-0.0227747
ACLY,47,0.3040763
ACN9,420572,0.0824165
ACO1,48,0.2202165
ACO2,50,0.3761323
ACOT11,26027,0.7497197
ACOT13,55856,0.117981
ACOT7,11332,-0.3217099
ACOT8,10005,0.2521515
ACOT9,23597,-0.0942833
ACOX1,51,-0.2946933
ACOX2,8309,0.2396021
ACOX3,8310,0.3501302
ACOXL,55289,0.6229938
ACP1,52,0.3945169
ACP2,53,0.1468191
ACP5,54,0.542702
ACP6,51205,0.2577177
ACPP,55,-0.1507074
ACR,49,-0.2841579
