"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"223278_at"	5.36426731480641e-11	1.80240469372135e-15	-57.4922763779598	25.02402673521	-6.01019811166666	"GJB2"	"gap junction protein beta 2"
"218723_s_at"	5.36426731480641e-11	2.51247789428024e-15	55.844951762175	24.7811097095019	5.58203278116667	"RGCC"	"regulator of cell cycle"
"215729_s_at"	5.36426731480641e-11	3.18198998061463e-15	-54.7019203535915	24.6055606135166	-5.89384527883333	"VGLL1"	"vestigial like family member 1"
"203780_at"	5.36426731480641e-11	5.14986925858187e-15	-52.4437783640981	24.2407973199284	-4.99299498616667	"MPZL2"	"myelin protein zero like 2"
"232231_at"	5.36426731480641e-11	5.63175683826129e-15	-52.0345526113736	24.1720154910384	-4.97937779683333	"RUNX2"	"runt related transcription factor 2"
"219985_at"	5.36426731480641e-11	6.76203872827915e-15	-51.2076252541601	24.0304031969587	-5.07597214716667	"HS3ST3A1"	"heparan sulfate-glucosamine 3-sulfotransferase 3A1"
"211796_s_at"	5.36426731480641e-11	6.86783195311292e-15	-51.1380422728471	24.0183241335032	-5.07063113533333	"TRBC1"	"T cell receptor beta constant 1"
"205856_at"	6.17039507497715e-11	9.49686143547821e-15	49.706508792913	23.7640340584969	5.20275373416667	"SLC14A1"	"solute carrier family 14 member 1 (Kidd blood group)"
"212328_at"	6.17039507497715e-11	1.01570289300035e-14	-49.4146928915107	23.7108103142371	-5.78590210483334	"LIMCH1"	"LIM and calponin homology domains 1"
"219388_at"	7.29578378424895e-11	1.33439118138984e-14	-48.2470780981356	23.4929647414421	-4.6550841645	"GRHL2"	"grainyhead like transcription factor 2"
"219121_s_at"	8.72678533725057e-11	1.85437165798828e-14	-46.8754134099975	23.2266653778321	-5.87045490733333	"ESRP1"	"epithelial splicing regulatory protein 1"
"1557779_at"	8.72678533725057e-11	1.91534383259272e-14	-46.7426675690563	23.2002760126864	-5.993116543	"LINC01468"	"long intergenic non-protein coding RNA 1468"
"205513_at"	9.90031895695798e-11	2.35398530298041e-14	-45.90522744074	23.031199638449	-6.34589039366667	"TCN1"	"transcobalamin 1"
"206290_s_at"	1.08793673747537e-10	2.84101804496841e-14	-45.1544937011011	22.8757244322324	-5.31539353933333	"RGS7"	"regulator of G-protein signaling 7"
"228740_at"	1.08793673747537e-10	2.98473727702434e-14	44.9595053506113	22.8347233714807	4.41468710366667	""	""
"236456_at"	1.17023689854029e-10	3.42456156865927e-14	44.4207498034643	22.7200803069201	4.30818479716667	"PTPN5"	"protein tyrosine phosphatase, non-receptor type 5"
"226535_at"	1.2500242302362e-10	3.88667799067496e-14	-43.9302890221659	22.6139506186201	-4.34856083133333	"LOC100505984///ITGB6"	"uncharacterized LOC100505984///integrin subunit beta 6"
"207149_at"	1.25150769778244e-10	4.12018995154712e-14	43.7060307261758	22.5648536249788	4.439265459	"CDH12"	"cadherin 12"
"208195_at"	1.34070965076422e-10	5.05681693848596e-14	42.9276234182474	22.3915977803057	4.61755295383333	"TTN"	"titin"
"202436_s_at"	1.34070965076422e-10	5.07788952965873e-14	-42.9119634253896	22.3880663043421	-4.3995934635	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"225846_at"	1.34070965076422e-10	5.14950208798328e-14	-42.8592679279132	22.3761695041665	-6.61887149433333	"ESRP1"	"epithelial splicing regulatory protein 1"
"221731_x_at"	1.6164004574148e-10	6.63616952695678e-14	-41.9158817370488	22.1596181100189	-4.41097455783334	"VCAN"	"versican"
"243764_at"	1.6164004574148e-10	6.86972904198477e-14	41.7888267040017	22.1299277962241	4.0715297215	"VSIG1"	"V-set and immunoglobulin domain containing 1"
"227174_at"	1.6164004574148e-10	7.09531064983178e-14	-41.6704914468509	22.1021609479916	-4.807132276	"WDR72"	"WD repeat domain 72"
"1554593_s_at"	1.65548391452435e-10	7.56965667363671e-14	-41.4344684709225	22.0464479034819	-5.280590527	"SLC1A6"	"solute carrier family 1 member 6"
"1555673_at"	1.74737697951619e-10	8.30942870917619e-14	-41.0967129977481	21.965945127616	-4.25181214616667	"KRTAP2-3///KRTAP2-4"	"keratin associated protein 2-3///keratin associated protein 2-4"
"1552754_a_at"	2.04625830613199e-10	1.01049792895407e-13	40.3968651252113	21.7961738799014	4.76437006083334	"CADM2"	"cell adhesion molecule 2"
"223484_at"	2.12438685453569e-10	1.08793474032006e-13	-40.1357962956525	21.7317977362213	-5.06022177266667	"C15orf48"	"chromosome 15 open reading frame 48"
"235118_at"	2.14151854565537e-10	1.13587632051222e-13	39.9840963169072	21.6941250271813	4.23430160216667	"CADM2"	"cell adhesion molecule 2"
"201010_s_at"	2.29171719558395e-10	1.32579316666272e-13	-39.4448543163352	21.5586076101926	-4.29716145166667	"TXNIP"	"thioredoxin interacting protein"
"215717_s_at"	2.29171719558395e-10	1.3604666295189e-13	39.3555111109011	21.5359099397798	4.22151885733333	"FBN2"	"fibrillin 2"
"204620_s_at"	2.29171719558395e-10	1.38359846732774e-13	-39.2972724669494	21.5210765239877	-3.86062510316667	"VCAN"	"versican"
"209909_s_at"	2.29171719558395e-10	1.49162247651258e-13	-39.038625123014	21.4548354115049	-4.43395659316666	"TGFB2"	"transforming growth factor beta 2"
"218309_at"	2.29171719558395e-10	1.5062787971265e-13	-39.0051080070034	21.446207806477	-3.74983567733333	"CAMK2N1"	"calcium/calmodulin dependent protein kinase II inhibitor 1"
"229151_at"	2.29171719558395e-10	1.52823296923855e-13	38.955558966296	21.4334349832321	4.8002582	"SLC14A1"	"solute carrier family 14 member 1 (Kidd blood group)"
"1566764_at"	2.29171719558395e-10	1.54222317030429e-13	-38.9243858756582	21.4253878334203	-3.8878510305	"MACC1"	"metastasis associated in colon cancer 1"
"201843_s_at"	2.29171719558395e-10	1.59258369123959e-13	-38.8146630809687	21.3969938692145	-4.338337309	"EFEMP1"	"EGF containing fibulin like extracellular matrix protein 1"
"1559433_at"	2.29171719558395e-10	1.59278012678903e-13	38.8142425149051	21.3968848262757	4.850877569	"APCDD1L-AS1"	"APCDD1L antisense RNA 1 (head to head)"
"218186_at"	2.57103737350584e-10	1.83393612376274e-13	-38.336427013838	21.2719563583449	-3.7511531075	"RAB25"	"RAB25, member RAS oncogene family"
"208966_x_at"	2.66448283029528e-10	1.94932443002855e-13	-38.1314284911069	21.2177124425194	-4.0691156415	"IFI16"	"interferon gamma inducible protein 16"
"229523_at"	2.88976627093629e-10	2.16699436869479e-13	37.7783444260789	21.1233598777584	3.66099376816667	"TMEM200C"	"transmembrane protein 200C"
"205207_at"	2.91486000666534e-10	2.3444477961984e-13	-37.5179057916095	21.0530047202744	-3.823807586	"IL6"	"interleukin 6"
"212325_at"	2.91486000666534e-10	2.38529276183632e-13	-37.4609918143995	21.0375430876693	-3.92491448616667	"LIMCH1"	"LIM and calponin homology domains 1"
"218035_s_at"	2.91486000666534e-10	2.39531259874768e-13	-37.4471917297858	21.0337893467419	-4.30069326816667	"RBM47"	"RNA binding motif protein 47"
"238513_at"	2.91486000666534e-10	2.39906173388094e-13	-37.4420442531467	21.0323887170349	-4.13857982116667	"PRRG4"	"proline rich and Gla domain 4"
"206300_s_at"	2.92931733404271e-10	2.46453767473186e-13	37.3535306933079	21.0082639557384	3.62310250833333	"PTHLH"	"parathyroid hormone like hormone"
"201009_s_at"	3.27788842519118e-10	2.8177550248557e-13	-36.9163046007056	20.8879714615833	-3.90593620866667	"TXNIP"	"thioredoxin interacting protein"
"223878_at"	3.3677186130117e-10	2.95657052445471e-13	-36.7605522161376	20.8446627891732	-3.9397987985	"INPP4B"	"inositol polyphosphate-4-phosphatase type II B"
"211959_at"	3.89579283219881e-10	3.49142841843149e-13	-36.226969906649	20.6944389827361	-3.8807628965	"IGFBP5"	"insulin like growth factor binding protein 5"
"202790_at"	3.96858877614359e-10	3.6292535675753e-13	-36.1038312881978	20.6593571481945	-4.00847466833333	"CLDN7"	"claudin 7"
"239370_at"	4.46377002504884e-10	4.16373610018273e-13	-35.6701820562779	20.5345534528416	-4.493428686	"LINC01133"	"long intergenic non-protein coding RNA 1133"
"218729_at"	4.83155930701947e-10	4.64078601306215e-13	-35.3314231138057	20.4356740941438	-4.82528274233334	"LXN"	"latexin"
"210560_at"	4.83155930701947e-10	4.6835417150806e-13	35.3029276686211	20.4273004726677	4.08417420683333	"GBX2"	"gastrulation brain homeobox 2"
"203934_at"	4.88681031777993e-10	4.8264793262024e-13	35.2096759469201	20.3998362565182	3.99100419133333	"KDR"	"kinase insert domain receptor"
"227236_at"	5.97039596993564e-10	6.05800407989626e-13	-34.5125159964642	20.1914857006191	-3.5847941905	"TSPAN2"	"tetraspanin 2"
"201842_s_at"	5.97039596993564e-10	6.19680888313158e-13	-34.4437695456869	20.1706469020086	-6.0652376555	"EFEMP1"	"EGF containing fibulin like extracellular matrix protein 1"
"231365_at"	5.97039596993564e-10	6.22428112092056e-13	-34.4303616536399	20.1665764029881	-3.34510183566667	"HOXA10-AS///MIR196B"	"HOXA10 antisense RNA///microRNA 196b"
"206595_at"	6.24191366876998e-10	6.67681925070373e-13	-34.2183146515128	20.1019294628849	-3.65980243133333	"CST6"	"cystatin E/M"
"204748_at"	6.24191366876998e-10	6.74031019182935e-13	-34.1898185771178	20.0932027162461	-3.28185055383333	"PTGS2"	"prostaglandin-endoperoxide synthase 2"
"236442_at"	6.24191366876998e-10	6.97726730264626e-13	34.0859846987809	20.0613253148599	3.28534141316667	"DPF3"	"double PHD fingers 3"
"202437_s_at"	6.24191366876998e-10	7.03591443605536e-13	-34.0608768047415	20.053598447061	-4.62301508166666	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"1553645_at"	6.24191366876998e-10	7.17057223845081e-13	34.0040775497832	20.0360917854011	4.67293379966667	"CCDC141"	"coiled-coil domain containing 141"
"91826_at"	6.24191366876998e-10	7.19232850722467e-13	-33.9950094845262	20.0332933694679	-3.52037574166667	"EPS8L1"	"EPS8 like 1"
"205239_at"	6.47846190367182e-10	7.5833847614997e-13	-33.8369159728669	19.984351913835	-3.624107899	"AREG"	"amphiregulin"
"211478_s_at"	6.58031840042078e-10	7.84729394425227e-13	33.7351511444959	19.9526938270424	3.61934112466667	"DPP4"	"dipeptidyl peptidase 4"
"218677_at"	6.58031840042078e-10	7.94331987979463e-13	-33.6990425686962	19.9414315506895	-4.43940247533333	"S100A14"	"S100 calcium binding protein A14"
"229139_at"	6.76665333798689e-10	8.29201232089844e-13	-33.571800896686	19.9016221786354	-4.31160655233333	"JPH1"	"junctophilin 1"
"203779_s_at"	6.89836550884978e-10	8.57958581804819e-13	-33.4711610721359	19.869999582267	-3.32912793883333	"MPZL2"	"myelin protein zero like 2"
"220407_s_at"	7.13373188211107e-10	9.00278920650505e-13	-33.3295335623818	19.8252931736139	-3.87546082583333	"TGFB2"	"transforming growth factor beta 2"
"201008_s_at"	7.46873614418633e-10	9.56216790293631e-13	-33.1530511837617	19.7692466448617	-4.32905743933333	"TXNIP"	"thioredoxin interacting protein"
"218261_at"	8.02425523176234e-10	1.04201576855076e-12	-32.9030634771094	19.6892083923952	-3.12433447316667	"AP1M2"	"adaptor related protein complex 1 mu 2 subunit"
"202237_at"	9.03856897658758e-10	1.19026422736956e-12	-32.5197172577611	19.5649742745002	-4.98612239466667	"LOC101928916///NNMT"	"uncharacterized LOC101928916///nicotinamide N-methyltransferase"
"218839_at"	9.25220146873933e-10	1.28649450610303e-12	32.2976920029023	19.4921776688774	3.14081590183333	"HEY1"	"hes related family bHLH transcription factor with YRPW motif 1"
"1552797_s_at"	9.25220146873933e-10	1.28947261197108e-12	-32.2911115828968	19.490010566023	-3.48442315216667	"PROM2"	"prominin 2"
"202672_s_at"	9.25220146873933e-10	1.30471737328212e-12	-32.2576833258652	19.4789932459966	-3.75438720766667	"ATF3"	"activating transcription factor 3"
"225645_at"	9.25220146873933e-10	1.31894251177777e-12	-32.2268713607879	19.4688255669576	-3.342787991	"EHF"	"ETS homologous factor"
"229242_at"	9.25220146873933e-10	1.31912277746395e-12	-32.2264832213293	19.4686974069069	-3.99449429633333	"TNFSF15"	"tumor necrosis factor superfamily member 15"
"203716_s_at"	9.25220146873933e-10	1.31992997633593e-12	32.2247459057094	19.4681237377734	3.19106802266667	"DPP4"	"dipeptidyl peptidase 4"
"213240_s_at"	9.51768490163267e-10	1.3785801465424e-12	-32.1015110693585	19.4273323008055	-3.30613266183333	"KRT4"	"keratin 4"
"202435_s_at"	9.51768490163267e-10	1.40280443787371e-12	-32.0522641624922	19.41097664081	-3.25813855233333	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"213975_s_at"	9.51768490163267e-10	1.42243703109343e-12	32.0130249877656	19.3979222734703	3.80126168333333	"LYZ"	"lysozyme"
"239132_at"	9.51768490163267e-10	1.42743513842502e-12	32.0031293206707	19.3946269657244	3.12252117883333	"NOS1"	"nitric oxide synthase 1"
"227062_at"	9.66556130769553e-10	1.47126754817083e-12	31.9179259913948	19.3662012435167	3.34182645283333	"MIR612///NEAT1"	"microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)"
"201839_s_at"	9.66556130769553e-10	1.49081271690722e-12	-31.8808181070945	19.3537917035598	-3.49230986666666	"EPCAM"	"epithelial cell adhesion molecule"
"205306_x_at"	9.66556130769553e-10	1.50264784847576e-12	-31.8586042762906	19.3463544050598	-3.23592026983333	"KMO"	"kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)"
"222496_s_at"	1.03089194847416e-09	1.62152185768226e-12	-31.6454917198799	19.2746744085959	-3.63285629733333	"RBM47"	"RNA binding motif protein 47"
"231798_at"	1.05282363332849e-09	1.68491428019037e-12	31.5386770253031	19.2385219109005	3.061139341	"NOG"	"noggin"
"201108_s_at"	1.05282363332849e-09	1.69453095076191e-12	-31.5228552410408	19.2331539785541	-3.08882220133333	"THBS1"	"thrombospondin 1"
"1552477_a_at"	1.0660113717596e-09	1.73525399335353e-12	-31.4569200844111	19.2107478954206	-3.39471320833333	"IRF6"	"interferon regulatory factor 6"
"212531_at"	1.07016816990772e-09	1.78881607863665e-12	-31.3727117704134	19.182047644199	-4.60096583333333	"LCN2"	"lipocalin 2"
"204777_s_at"	1.07016816990772e-09	1.79919920586249e-12	-31.3567049374854	19.1765813579743	-3.23035122033333	"MAL"	"mal, T-cell differentiation protein"
"202286_s_at"	1.07016816990772e-09	1.80074022188405e-12	-31.3543378310306	19.1757727056072	-6.29714004	"TACSTD2"	"tumor-associated calcium signal transducer 2"
"1553313_s_at"	1.08406495199097e-09	1.84877328960445e-12	31.2816390743146	19.1509005459933	3.32402367866667	"SLC5A3"	"solute carrier family 5 member 3"
"216905_s_at"	1.08406495199097e-09	1.86377879263194e-12	-31.2593479446796	19.1432598709508	-3.64594881733333	"ST14"	"suppression of tumorigenicity 14"
"225911_at"	1.09088648724322e-09	1.89545891702069e-12	-31.2129197487597	19.1273241985475	-3.57870118283333	"NPNT"	"nephronectin"
"221942_s_at"	1.10033338765537e-09	1.93199826639078e-12	-31.1604058187216	19.1092644516066	-3.47949296383333	"GUCY1A3"	"guanylate cyclase 1 soluble subunit alpha"
"239336_at"	1.11598416393513e-09	1.97988960039702e-12	-31.09318766554	19.0860930824566	-3.05219368916667	"THBS1"	"thrombospondin 1"
"201131_s_at"	1.14923455002047e-09	2.06490675831366e-12	-30.9781018243719	19.0462773451435	-3.70656063066667	"CDH1"	"cadherin 1"
"203535_at"	1.14923455002047e-09	2.08091852678603e-12	-30.9570036031375	19.0389583605738	-3.61528707666667	"S100A9"	"S100 calcium binding protein A9"
"211778_s_at"	1.19024728324498e-09	2.17694976359392e-12	-30.8340560986867	18.9961855894971	-3.16335175916667	"OVOL2"	"ovo like zinc finger 2"
"219936_s_at"	1.19296034727649e-09	2.20373104846686e-12	-30.8008172071214	18.9845860079886	-4.18094940333333	"GPR87"	"G protein-coupled receptor 87"
"207761_s_at"	1.19468045015881e-09	2.22875913884223e-12	-30.7701485128554	18.9738697410353	-4.32644790983333	"METTL7A"	"methyltransferase like 7A"
"205992_s_at"	1.25197455019323e-09	2.37230855226148e-12	-30.6011766743257	18.9145919775201	-3.49403551466667	"IL15"	"interleukin 15"
"225283_at"	1.25197455019323e-09	2.3814422171028e-12	-30.5908038227884	18.9109399865134	-3.32085050483333	"ARRDC4"	"arrestin domain containing 4"
"201110_s_at"	1.28357752971688e-09	2.4650322930091e-12	-30.4978338086334	18.8781401066885	-3.87232872466667	"THBS1"	"thrombospondin 1"
"202833_s_at"	1.28844843524522e-09	2.49795215612242e-12	-30.4621560276411	18.8655205133329	-3.49386118833333	"SERPINA1"	"serpin family A member 1"
"229839_at"	1.29334204220529e-09	2.53305892795392e-12	30.4246665640065	18.8522406523444	3.0312638365	"SCARA5"	"scavenger receptor class A member 5"
"238805_at"	1.29334204220529e-09	2.5773435247692e-12	-30.3781733988945	18.8357436544886	-2.96642230633333	"HSPB2-C11orf52///C11orf52///HSPB2"	"HSPB2-C11orf52 readthrough (NMD candidate)///chromosome 11 open reading frame 52///heat shock protein family B (small) member 2"
