"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"228462_at"	3.01714113473764e-13	5.51831940509856e-18	-44.9026877374722	27.5208240849294	-10.2813472836141	"IRX2"	"iroquois homeobox 2"
"213050_at"	6.64259977683546e-12	3.24084330452071e-16	-34.5405620102294	25.1612177203283	-6.26176727419086	"COBL"	"cordon-bleu WH2 repeat protein"
"205591_at"	6.64259977683546e-12	3.64477354010176e-16	34.2794704336537	25.0850223349318	7.41453066774919	"OLFM1"	"olfactomedin 1"
"229616_s_at"	8.26686282834016e-12	6.22754454562189e-16	-33.1129331130457	24.7319320569244	-6.88671988113872	"GRAMD2"	"GRAM domain containing 2"
"201131_s_at"	8.26686282834016e-12	7.5600025865022e-16	-32.7003140750496	24.6018905356621	-7.41290341265927	"CDH1"	"cadherin 1"
"202005_at"	2.43922040122339e-11	2.67678507678835e-15	-30.1295828413204	23.7253587792643	-6.63625021769352	"ST14"	"suppression of tumorigenicity 14"
"202286_s_at"	9.2411461493472e-11	1.18313713846238e-14	-27.3574191578849	22.6343053696212	-9.2727524599178	"TACSTD2"	"tumor-associated calcium signal transducer 2"
"212070_at"	1.6420520790304e-10	2.40263678687575e-14	-26.124054941002	22.0923915862783	-5.57079333363251	"ADGRG1"	"adhesion G protein-coupled receptor G1"
"213194_at"	1.81121945543634e-10	2.98143120236434e-14	-25.7589871025991	21.924599179876	-5.73511114737522	"ROBO1"	"roundabout guidance receptor 1"
"203256_at"	2.54521274339703e-10	4.65516734046096e-14	-25.0207065630066	21.5743549174682	-9.58774799216433	"CDH3"	"cadherin 3"
"219388_at"	2.59865337920809e-10	5.22820067147489e-14	-24.8316988667606	21.4822640995111	-4.93770773044661	"GRHL2"	"grainyhead like transcription factor 2"
"201839_s_at"	3.90288251585059e-10	8.56599729130444e-14	-24.0429252873302	21.0868117632722	-6.696041627607	"EPCAM"	"epithelial cell adhesion molecule"
"202376_at"	8.17890332484728e-10	1.94468666160063e-13	-22.7854077317311	20.417016353778	-7.00965525638315	"SERPINA3"	"serpin family A member 3"
"204971_at"	1.02021815144394e-09	2.72783923996614e-13	-22.2847255110418	20.1359661998854	-5.77017354360529	"CSTA"	"cystatin A"
"229296_at"	1.02021815144394e-09	2.79895240451012e-13	-22.2470771723711	20.1144862057253	-6.02828712034416	"LINC01503"	"long intergenic non-protein coding RNA 1503"
"219593_at"	1.02347843617521e-09	2.99509007385522e-13	22.1482823466281	20.057885004192	7.92189086223732	"SLC15A3"	"solute carrier family 15 member 3"
"226789_at"	1.10432018550278e-09	3.45949815163355e-13	-21.939388684786	19.9370777824077	-5.01073131453189	"EMB"	"embigin"
"204679_at"	1.10432018550278e-09	3.63562200988569e-13	-21.8678590481959	19.8953550203297	-5.81249275884412	"KCNK1"	"potassium two pore domain channel subfamily K member 1"
"203453_at"	1.40862906178077e-09	4.97364758115044e-13	-21.4214798479483	19.6308030015705	-7.11170034114533	"SCNN1A"	"sodium channel epithelial 1 alpha subunit"
"202790_at"	1.40862906178077e-09	5.15273547976506e-13	-21.3716322971213	19.6008058548516	-8.82937895982758	"CLDN7"	"claudin 7"
"226757_at"	1.59671273442444e-09	6.1580781170819e-13	21.1221193449668	19.4492542345085	3.85952002458825	"IFIT2"	"interferon induced protein with tetratricopeptide repeats 2"
"206376_at"	1.59671273442444e-09	6.71605654999305e-13	-21.0016865986131	19.3752596983571	-7.81681618023877	"SLC6A15"	"solute carrier family 6 member 15"
"202826_at"	1.59671273442444e-09	6.71685283799947e-13	-21.001522422754	19.3751584485066	-4.86919970142023	"SPINT1"	"serine peptidase inhibitor, Kunitz type 1"
"203425_s_at"	2.29762999981587e-09	1.00856186548845e-12	20.4456191786143	19.0262896943773	5.42823218114809	"IGFBP5"	"insulin like growth factor binding protein 5"
"204019_s_at"	2.61193243178209e-09	1.19429923721175e-12	-20.2185188811896	18.8802200734039	-4.86836689990526	"SH3YL1"	"SH3 and SYLF domain containing 1"
"219942_at"	2.75040897116459e-09	1.30792196159633e-12	20.0973926616989	18.801449199025	7.57393731368576	"MYL7"	"myosin light chain 7"
"219686_at"	2.79592759398499e-09	1.38070498468395e-12	20.0255356994706	18.7544319645057	5.48593716451555	"STK32B"	"serine/threonine kinase 32B"
"201951_at"	2.81306526552281e-09	1.44061870022202e-12	-19.9693388447139	18.7175113228186	-4.3919312168668	"ALCAM"	"activated leukocyte cell adhesion molecule"
