"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"201387_s_at"	1.84485372359984e-08	1.12513841513082e-12	5728.98200455498	"UCHL1"	"ubiquitin C-terminal hydrolase L1"
"205433_at"	1.84485372359984e-08	1.21730202735359e-12	5609.9647202505	"BCHE"	"butyrylcholinesterase"
"201909_at"	1.84485372359984e-08	1.54028213927461e-12	5268.74803815293	"RPS4Y1"	"ribosomal protein S4, Y-linked 1"
"201650_at"	1.84485372359984e-08	1.54068478494361e-12	5268.38082500932	"KRT19"	"keratin 19"
"200799_at"	1.84485372359984e-08	1.68710902935513e-12	5142.36367184812	"HSPA1B///HSPA1A"	"heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A"
"225285_at"	2.13605890729674e-08	2.70986027048258e-12	4531.88940321393	"BCAT1"	"branched chain amino acid transaminase 1"
"200765_x_at"	2.13605890729674e-08	2.73478049402418e-12	4520.83906355163	"CTNNA1"	"catenin alpha 1"
"206884_s_at"	2.38634474277475e-08	4.1168484730983e-12	4053.60006416749	"SCEL"	"sciellin"
"210844_x_at"	2.38634474277475e-08	4.96674504243018e-12	3855.68010276567	"CTNNA1"	"catenin alpha 1"
"207173_x_at"	2.38634474277475e-08	4.9897197989108e-12	3850.9367689857	"CDH11"	"cadherin 11"
"229485_x_at"	2.38634474277475e-08	5.7805238864058e-12	3702.74946552062	"SHISA3"	"shisa family member 3"
"1552546_a_at"	2.38634474277475e-08	6.59388547101088e-12	3574.97756275118	"LETM2"	"leucine zipper and EF-hand containing transmembrane protein 2"
"208991_at"	2.38634474277475e-08	6.8568942074229e-12	3537.87306544822	"STAT3"	"signal transducer and activator of transcription 3"
"204855_at"	2.38634474277475e-08	7.2132430110341e-12	3490.38057797855	"SERPINB5"	"serpin family B member 5"
"205258_at"	2.38634474277475e-08	7.48566481731567e-12	3456.03400648969	"INHBB"	"inhibin beta B subunit"
"217492_s_at"	2.38634474277475e-08	8.55711606890718e-12	3334.8759897695	"PTENP1///PTEN"	"phosphatase and tensin homolog pseudogene 1///phosphatase and tensin homolog"
"221805_at"	2.38634474277475e-08	8.61723505275497e-12	3328.65331873541	"NEFL"	"neurofilament, light polypeptide"
"226517_at"	2.38634474277475e-08	8.68563266947007e-12	3321.64027798029	"BCAT1"	"branched chain amino acid transaminase 1"
