"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
8041853	1.32934345469277e-08	1.02947329076373e-12	86.8355913494397	18.3074952557577	7.79522383575	"EPCAM"	"epithelial cell adhesion molecule"
7996819	1.32934345469277e-08	1.40144865305656e-12	83.394248804293	18.1507896044801	6.73184328316667	"CDH3"	"cadherin 3"
8167562	1.32934345469277e-08	1.49250223655317e-12	-82.7088731781795	18.1179525607943	-7.5874831605	"GAGE10///GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2B///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE3///GAGE2C///GAGE1"	"G antigen 10///G antigen 12D///G antigen 8///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 2B///G antigen 2E///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 3///G antigen 2C///G antigen 1"
7971461	1.32934345469277e-08	1.64517614515983e-12	81.6595117312041	18.066571613725	7.02632550716667	"LCP1"	"lymphocyte cytosolic protein 1"
7996837	1.40858071161224e-08	2.17904877883147e-12	78.7053423947399	17.9143801125101	7.20537537608333	"CDH1"	"cadherin 1"
8111153	1.98745229568932e-08	4.12302356116224e-12	72.391649880642	17.5473797670609	5.36594688891667	"MYO10"	"myosin X"
8167584	1.98745229568932e-08	4.3043736486573e-12	-71.9841495988122	17.5215243256501	-7.00228268933333	"GAGE10///GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2B///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE3///GAGE2C///GAGE1"	"G antigen 10///G antigen 12D///G antigen 8///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 2B///G antigen 2E///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 3///G antigen 2C///G antigen 1"
8148040	2.57009201291941e-08	6.9745594643e-12	67.5687567142536	17.2223018536364	8.30652795575	"MAL2"	"mal, T-cell differentiation protein 2 (gene/pseudogene)"
7939314	2.57009201291941e-08	7.15659420075946e-12	67.3407913050917	17.2058492657386	6.33220474125	"EHF"	"ETS homologous factor"
7981978	2.86547125691232e-08	1.0131409970766e-11	64.3391351408832	16.9791798191931	7.61028851766667	"SNORD116-15"	"small nucleolar RNA, C/D box 116-15"
7963817	2.86547125691232e-08	1.031421539707e-11	-64.1883743172922	16.9672833291525	-7.03775067816667	"GTSF1"	"gametocyte specific factor 1"
8035304	2.86547125691232e-08	1.06387967831898e-11	63.9279911708513	16.9466165993499	4.83455936308333	"BST2"	"bone marrow stromal cell antigen 2"
8124531	3.09032586952552e-08	1.31816580592917e-11	62.1555129829483	16.8017893191633	6.72260030958333	"HIST1H3I"	"histone cluster 1, H3i"
