"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_23_P108265"	0.00862778044085067	4.73072846655388e-07	-11.2723998804056	6.39553740639273	-1.95759356960055	"OR7C2"	"olfactory receptor family 7 subfamily C member 2"
"A_23_P78108"	0.00862778044085067	6.34339108445092e-07	10.9264992062614	6.16607382830618	3.67377658355989	"ALDOC"	"aldolase, fructose-bisphosphate C"
"A_23_P130753"	0.00862778044085067	9.30362558605736e-07	10.4885881263424	5.86107695979578	2.40168264008258	"DBP"	"D-box binding PAR bZIP transcription factor"
"A_24_P717462"	0.00862778044085067	1.20845519746518e-06	-10.1981861463644	5.6494101768958	-1.71563737042463	""	""
"A_24_P802562"	0.00862778044085067	1.30116734645151e-06	-10.1173404544776	5.5890957972507	-1.76776039158936	""	""
"A_24_P178300"	0.0124318419812007	2.49948336658207e-06	-9.42614171442741	5.04744762798627	-1.13938911228813	"PRR21"	"proline rich 21"
"A_23_P392994"	0.0124318419812007	2.62480828462342e-06	-9.37594464138744	5.00622598041895	-2.75002522930098	"RABL6"	"RAB, member RAS oncogene family-like 6"
"A_23_P171077"	0.0135613979780984	3.51124234407372e-06	9.08185723063967	4.75933248491818	1.36553759976687	"EBP"	"emopamil binding protein (sterol isomerase)"
"A_23_P31135"	0.0135613979780984	3.68138329622022e-06	9.03473961987758	4.71890408780578	2.01364545969387	"ACAT2"	"acetyl-CoA acetyltransferase 2"
"A_23_P424561"	0.0141870272533082	4.68614467602144e-06	8.79746240124269	4.51155029263095	1.05865714874637	"RHOV"	"ras homolog family member V"
"A_23_P137806"	0.0141870272533082	4.94804198517557e-06	-8.74467996295837	4.46455694405131	-1.05196391895926	"MPL"	"MPL proto-oncogene, thrombopoietin receptor"
"A_24_P114183"	0.0141870272533082	5.60116316100622e-06	8.62527450373851	4.35706012805713	1.82510462445525	"FDPS"	"farnesyl diphosphate synthase"
"A_23_P101054"	0.0141870272533082	5.76427874873202e-06	8.59781143973655	4.33210086538192	2.51827458360683	"KRT34"	"keratin 34"
"A_23_P14754"	0.0141870272533082	6.08725785903889e-06	8.54584178256286	4.28462633303784	1.24625778269746	"HAPLN3"	"hyaluronan and proteoglycan link protein 3"
"A_24_P307306"	0.0141870272533082	7.22926696464371e-06	-8.38353455176118	4.13428792337178	-1.60683777181123	""	""
"A_24_P404245"	0.0141870272533082	7.53902183525941e-06	8.34429434804202	4.09746506542192	2.17929974681654	"PCYT2"	"phosphate cytidylyltransferase 2, ethanolamine"
"A_23_P313550"	0.0141870272533082	7.90041230156925e-06	8.30066834155169	4.05630638934517	1.36681839767356	"SLC25A41"	"solute carrier family 25 member 41"
"A_23_P43684"	0.0141870272533082	8.47291854346652e-06	8.2358104119533	3.99468509902545	1.17977041002413	"BNC2"	"basonuclin 2"
"A_23_P33759"	0.0141870272533082	9.31163461906543e-06	8.14891854787081	3.91131352903612	1.41104593387009	"DHRS3"	"dehydrogenase/reductase 3"
"A_23_P105592"	0.0141870272533082	1.01899260971514e-05	8.06659505620481	3.83145400382762	1.79555109560622	"MVK"	"mevalonate kinase"
