"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"222122_s_at"	1.23292204384721e-07	5.53301639746536e-12	-14.4820701563778	16.6778852804682	-1.24586446583175	"THOC2"	"THO complex 2"
"210257_x_at"	4.19472440456551e-07	3.76495481269624e-11	-13.0163765082745	15.0782588292982	-1.2871356984768	"CUL4B"	"cullin 4B"
"217790_s_at"	4.79892398685053e-07	6.46087688397055e-11	-12.6260791286298	14.6171618013742	-1.77316028319843	"SSR3"	"signal sequence receptor subunit 3"
"212774_at"	9.22591455470659e-07	1.87093819885191e-10	-11.8845546065051	13.6967754156875	-2.12534356740855	"ZBTB18"	"zinc finger and BTB domain containing 18"
"218322_s_at"	9.22591455470659e-07	2.07016886296876e-10	11.8157828054201	13.608352467846	2.61230128502739	"ACSL5"	"acyl-CoA synthetase long-chain family member 5"
"218853_s_at"	1.0764913599723e-06	2.89859900365024e-10	-11.5892034386355	13.3132256554944	-1.20853621661646	"MOSPD1"	"motile sperm domain containing 1"
"209727_at"	1.2987964743247e-06	4.08004995748907e-10	-11.3624472882201	13.0119267562316	-2.47502210762142	"GM2A"	"GM2 ganglioside activator"
"204602_at"	2.73421679971455e-06	9.81633280874047e-10	-10.7952583647722	12.2313960624448	-0.97152447665056	"DKK1"	"dickkopf WNT signaling pathway inhibitor 1"
"209233_at"	3.91209464847768e-06	1.66737966401239e-09	10.4631313159265	11.7558756702359	1.1320947341324	"EMG1"	"EMG1, N1-specific pseudouridine methyltransferase"
"215997_s_at"	3.91209464847768e-06	1.7556409139154e-09	-10.4311904686691	11.7094051372033	-1.31848433972421	"CUL4B"	"cullin 4B"
"216438_s_at"	4.00324205718403e-06	1.97619991154801e-09	-10.3581693840427	11.6026735237913	-1.05067340082692	"TMSB4X"	"thymosin beta 4, X-linked"
"200859_x_at"	4.05800759993834e-06	2.18534717943096e-09	-10.2963804179423	11.5118202097166	-1.17363919601923	"FLNA"	"filamin A"
"201566_x_at"	4.13613824913147e-06	2.41304120803793e-09	-10.2357576277947	11.4221985428962	-1.70054514742182	"ID2"	"inhibitor of DNA binding 2, HLH protein"
"203276_at"	1.2040129259644e-05	7.56459227370714e-09	-9.55453036066494	10.3814561911353	-1.0230231962251	"LMNB1"	"lamin B1"
"201828_x_at"	1.22079472447446e-05	8.21788846525015e-09	-9.50636780084955	10.3054864052724	-0.919692589318545	"FAM127A"	"family with sequence similarity 127 member A"
"201481_s_at"	1.23522661137245e-05	8.86937386436264e-09	-9.46215216150857	10.2354588831014	-2.08408514188165	"PYGB"	"phosphorylase, glycogen; brain"
"AFFX-r2-Bs-dap-5_at"	1.23607920433149e-05	9.43021427708808e-09	-9.42671451155109	10.1791371894928	-1.18769758029545	""	""
"204976_s_at"	1.33683770527688e-05	1.07988505564708e-08	-9.34869688401497	10.0545237721234	-1.10630265155943	"AMMECR1"	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"213746_s_at"	1.51265180536008e-05	1.28978971870222e-08	-9.24707841768303	9.89093165190896	-1.35968393845716	"FLNA"	"filamin A"
"AFFX-ThrX-5_at"	1.69829071484203e-05	1.52429270281563e-08	-9.15216147424354	9.73680917514764	-1.23267648720941	""	""
"201899_s_at"	2.26358531347959e-05	2.27363699689266e-08	-8.92749337807304	9.36687700506378	-0.951165829411105	"UBE2A"	"ubiquitin conjugating enzyme E2 A"
"201887_at"	2.26358531347959e-05	2.42958075769131e-08	-8.89055823977556	9.30536567964444	-0.948939102467753	"IL13RA1"	"interleukin 13 receptor subunit alpha 1"
"208892_s_at"	2.26358531347959e-05	2.46829069999766e-08	-8.88177130286207	9.29070296420277	-0.963313047779483	"DUSP6"	"dual specificity phosphatase 6"
"213094_at"	2.26358531347959e-05	2.50733505088881e-08	-8.87305229923622	9.27614255670565	-1.27971775446642	"ADGRG6"	"adhesion G protein-coupled receptor G6"
"AFFX-r2-Bs-thr-5_s_at"	2.26358531347959e-05	2.53958770529056e-08	-8.86595567276744	9.26428332701457	-0.971801359924633	""	""
"205873_at"	2.32195918211302e-05	2.70928235582904e-08	8.83009583313412	9.20424595255242	1.26099897556302	"PIGL"	"phosphatidylinositol glycan anchor biosynthesis class L"
"207809_s_at"	4.14317583892014e-05	5.02022831983323e-08	-8.49259001200554	8.62998198575318	-0.89538059693788	"ATP6AP1"	"ATPase H+ transporting accessory protein 1"
"218669_at"	4.32539781406053e-05	5.43513614835053e-08	-8.44971082892965	8.5558232366402	-0.921307716529064	"RAP2C"	"RAP2C, member of RAS oncogene family"
"200931_s_at"	5.11433694301216e-05	6.6560055354913e-08	-8.34087105912762	8.36636228157339	-0.680927338725422	"VCL"	"vinculin"
"206125_s_at"	5.95914177817765e-05	8.02289877239733e-08	8.24127434841707	8.19144598442756	1.17460549991605	"KLK8"	"kallikrein related peptidase 8"
