"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"ILMN_1794863"	0.0041765926137507	8.82571395251928e-08	53.512236681945	"CAMK2N1"	"calcium/calmodulin dependent protein kinase II inhibitor 1"
"ILMN_1730645"	0.0114216091714934	5.76999927649392e-07	40.565653471741	"TMEFF2"	"transmembrane protein with EGF like and two follistatin like domains 2"
"ILMN_1669523"	0.0114216091714934	8.00727833359104e-07	38.6037442783181	"FOS"	"Fos proto-oncogene, AP-1 transcription factor subunit"
"ILMN_2150465"	0.0114216091714934	9.65417168944775e-07	37.5196728928574	"TMEM267"	"transmembrane protein 267"
"ILMN_1718977"	0.014860425874118	1.57010606619593e-06	34.8176079926891	"GADD45B"	"growth arrest and DNA damage inducible beta"
"ILMN_2222008"	0.0176703668507373	2.24039475739966e-06	32.9445953335591	"KIFC1"	"kinesin family member C1"
"ILMN_2139816"	0.0191041359224655	3.39608932499135e-06	30.8569433755703	"GPSM2"	"G-protein signaling modulator 2"
"ILMN_3223500"	0.0191041359224655	4.07906592504015e-06	29.9714497102063	""	""
"ILMN_1775008"	0.0191041359224655	4.75916067310661e-06	29.2419682586782	"NCAPD2"	"non-SMC condensin I complex subunit D2"
"ILMN_3226613"	0.0191041359224655	5.26359798891267e-06	28.7729847737327	""	""
"ILMN_2394193"	0.0191041359224655	5.311636238267e-06	28.7309834925904	"VCPKMT"	"valosin containing protein lysine methyltransferase"
"ILMN_3230608"	0.0191041359224655	5.48034582168976e-06	28.5867944172931	""	""
"ILMN_2340919"	0.0191041359224655	5.58118279549713e-06	28.5029796697561	"GRB10"	"growth factor receptor bound protein 10"
"ILMN_1806023"	0.0191041359224655	6.06241034896111e-06	28.125186120666	"JUN"	"Jun proto-oncogene, AP-1 transcription factor subunit"
"ILMN_2176592"	0.0191041359224655	6.10385073415573e-06	28.0942432596682	"BCHE"	"butyrylcholinesterase"
"ILMN_1771126"	0.0191041359224655	6.4591461817604e-06	27.8382840750873	"RORC"	"RAR related orphan receptor C"
"ILMN_1689972"	0.0248273423058148	9.80544418248138e-06	26.0051182504787	"RRP9"	"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)"
"ILMN_1781285"	0.0248273423058148	1.09897316021977e-05	25.5209315204175	"DUSP1"	"dual specificity phosphatase 1"
"ILMN_1669617"	0.0248273423058148	1.18115265623084e-05	25.2182782032089	"GRB10"	"growth factor receptor bound protein 10"
"ILMN_1796461"	0.0248273423058148	1.1990292638353e-05	25.1555807356795	"PRSS8"	"protease, serine 8"
"ILMN_2200331"	0.0248273423058148	1.24940037205514e-05	24.9844273904783	"H2AFX"	"H2A histone family member X"
"ILMN_3261439"	0.0248273423058148	1.27502396880812e-05	24.9003186802376	""	""
"ILMN_2123559"	0.0248273423058148	1.28470083072021e-05	24.8690485877907	"MIGA1"	"mitoguardin 1"
"ILMN_3181480"	0.0248273423058148	1.28919889687459e-05	24.8546035745414	""	""
"ILMN_1742534"	0.0248273423058148	1.31158962374611e-05	24.7835328974258	"COL4A5"	"collagen type IV alpha 5 chain"
"ILMN_2176882"	0.0251398489401276	1.38122281436789e-05	24.5709454406485	"ZNF69"	"zinc finger protein 69"
"ILMN_2158003"	0.0269321184327125	1.58648446884431e-05	24.0083328878645	"KIAA1683"	"KIAA1683"
"ILMN_1660654"	0.0269321184327125	1.59351544939237e-05	23.9905377861063	"CDCA2"	"cell division cycle associated 2"
"ILMN_1796949"	0.0274991319821325	1.74017817657227e-05	23.6382825048158	"TPX2"	"TPX2, microtubule nucleation factor"
"ILMN_2229940"	0.0274991319821325	1.74328330719518e-05	23.6311901280408	"PRADC1"	"protease associated domain containing 1"
"ILMN_3253304"	0.0300723690178961	1.96995845477839e-05	23.1486600101437	""	""
"ILMN_1809496"	0.0321267890555029	2.17242619820403e-05	22.7678033485271	"COPG2"	"coatomer protein complex subunit gamma 2"
"ILMN_2413899"	0.033042160592053	2.43589405690418e-05	22.3280991900248	"MCM10"	"minichromosome maintenance 10 replication initiation factor"
"ILMN_1699772"	0.033042160592053	2.49503106282738e-05	22.2367591349179	"RRAGD"	"Ras related GTP binding D"
"ILMN_1801257"	0.033042160592053	2.51897281710259e-05	22.2004708620079	"CENPA"	"centromere protein A"
"ILMN_1679438"	0.033042160592053	2.56125519602887e-05	22.1373226332143	"CENPU"	"centromere protein U"
"ILMN_1777660"	0.033042160592053	2.58343710649359e-05	22.1046619203883	"RNF144A"	"ring finger protein 144A"
"ILMN_1761941"	0.033796461763792	2.76661714713988e-05	21.8464572747612	"FAM198B"	"family with sequence similarity 198 member B"
"ILMN_1694027"	0.033796461763792	2.78524609341734e-05	21.821282477254	"SESN3"	"sestrin 3"
"ILMN_2368713"	0.0342221195569215	2.89264159558113e-05	21.679752826875	""	""
"ILMN_1665483"	0.0343227304469034	3.00214139127747e-05	21.541415359274	"PUM3"	"pumilio RNA binding family member 3"
"ILMN_3238183"	0.0343227304469034	3.04620306990246e-05	21.4873447997452	"BMS1P5"	"BMS1, ribosome biogenesis factor pseudogene 5"
"ILMN_1671791"	0.034435673752707	3.22241969013e-05	21.2795755928366	"PCK2"	"phosphoenolpyruvate carboxykinase 2, mitochondrial"
"ILMN_1718766"	0.034435673752707	3.23332877853816e-05	21.2671361165924	"MT1F"	"metallothionein 1F"
"ILMN_1796005"	0.034435673752707	3.28421689949274e-05	21.2097269472644	"TERT"	"telomerase reverse transcriptase"
"ILMN_2060413"	0.034435673752707	3.34729622514321e-05	21.1399391053792	"CD24"	"CD24 molecule"
"ILMN_2412860"	0.0346413559653309	3.44049136861685e-05	21.0394977188836	"MCM4"	"minichromosome maintenance complex component 4"
"ILMN_2301083"	0.0358204903168618	3.69455594305794e-05	20.7805264552692	"UBE2C"	"ubiquitin conjugating enzyme E2 C"
"ILMN_2401436"	0.0358204903168618	3.79240237249598e-05	20.6860945111458	"PKMYT1"	"protein kinase, membrane associated tyrosine/threonine 1"
"ILMN_1739885"	0.0358204903168618	3.81952285736253e-05	20.660405405169	"SLC41A3"	"solute carrier family 41 member 3"
"ILMN_3298215"	0.0358204903168618	3.86037446095968e-05	20.622095071539	""	""
"ILMN_3237656"	0.0391635052805629	4.30340907083083e-05	20.2337921740695	""	""
"ILMN_3282587"	0.039273253280765	4.44149313485765e-05	20.1219045282316	""	""
"ILMN_1703906"	0.039273253280765	4.53517445572456e-05	20.0482031615342	"HJURP"	"Holliday junction recognition protein"
