No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1,A2ML1,144568,1,63,1.587301587
2,A4GNT,51146,1,63,1.587301587
3,AADACL3,126767,1,63,1.587301587
4,AADACL4,343066,1,63,1.587301587
5,AAGAB,79719,1,63,1.587301587
6,ABCA6,23460,2,63,3.174603175
7,ABCA8,10351,1,63,1.587301587
8,ABCB4,5244,1,63,1.587301587
9,ABCB7,22,1,63,1.587301587
10,ABCC4,10257,1,63,1.587301587
11,ABCC9,10060,1,63,1.587301587
12,ABCG1,9619,1,63,1.587301587
13,ABHD12B,145447,1,63,1.587301587
14,ABHD13,84945,1,63,1.587301587
15,ABL1,25,1,123,0.81300813
16,ABL2,27,1,122,0.819672131
17,AC114273.2,148231,3,63,4.761904762
18,ACACB,32,1,63,1.587301587
19,ACADM,34,1,63,1.587301587
20,ACBD3,64746,1,63,1.587301587
21,ACCN1,40,1,63,1.587301587
22,ACE,1636,2,63,3.174603175
23,ACIN1,22985,1,63,1.587301587
24,ACLY,47,1,63,1.587301587
25,ACO1,48,1,63,1.587301587
26,ACP5,54,1,63,1.587301587
27,ACRBP,84519,1,63,1.587301587
28,ACSL4,2182,1,63,1.587301587
29,ACSM2B,348158,1,63,1.587301587
30,ACVR1C,130399,1,122,0.819672131
31,ADAM12,8038,1,76,1.315789474
32,ADAM19,8728,1,63,1.587301587
33,ADAM9,8754,1,63,1.587301587
34,ADAMTS10,81794,1,63,1.587301587
35,ADAMTS12,81792,2,63,3.174603175
36,ADAMTS18,170692,1,122,0.819672131
37,ADAMTS20,80070,1,63,1.587301587
38,ADAMTS6,11174,1,63,1.587301587
39,ADAMTS9,56999,1,63,1.587301587
40,ADAMTSL3,57188,1,122,0.819672131
41,ADAMTSL4,54507,1,63,1.587301587
42,ADAR,103,1,63,1.587301587
43,ADCY1,107,2,63,3.174603175
44,ADCY10,55811,1,63,1.587301587
45,ADCY2,108,1,63,1.587301587
46,ADCY3,109,3,63,4.761904762
47,ADCY9,115,2,63,3.174603175
48,ADI1,55256,1,63,1.587301587
49,ADRA1A,148,1,122,0.819672131
50,ADSL,158,1,63,1.587301587
51,AFTPH,54812,1,63,1.587301587
52,AGAP2,116986,1,76,1.315789474
53,AGBL5,60509,1,63,1.587301587
54,AGTR1,185,1,63,1.587301587
55,AHDC1,27245,1,63,1.587301587
56,AHNAK,79026,2,63,3.174603175
57,AIRE,326,1,63,1.587301587
58,AKAP11,11215,1,63,1.587301587
59,AKAP4,8852,1,63,1.587301587
60,AKAP6,9472,2,122,1.639344262
61,AKAP8,10270,1,63,1.587301587
62,AKAP9,10142,1,122,0.819672131
63,AKNA,80709,2,63,3.174603175
64,AKT1,207,2,271,0.73800738
65,ALDH1A1,216,1,63,1.587301587
66,ALDH5A1,7915,1,63,1.587301587
67,ALDOC,230,1,63,1.587301587
68,ALG10,84920,1,63,1.587301587
69,ALG9,79796,1,63,1.587301587
70,ALKBH7,84266,1,63,1.587301587
71,ALKBH8,91801,1,63,1.587301587
72,ALS2CR11,151254,1,63,1.587301587
73,AMAC1,146861,1,63,1.587301587
74,AMOT,154796,1,63,1.587301587
75,AMPH,273,1,63,1.587301587
76,AMY2B,280,1,63,1.587301587
77,ANAPC5,51433,1,63,1.587301587
78,ANGPTL1,9068,1,63,1.587301587
79,ANK3,288,2,63,3.174603175
80,ANKHD1,54882,1,63,1.587301587
81,ANKLE2,23141,1,63,1.587301587
82,ANKRD11,29123,1,63,1.587301587
83,ANKRD26,22852,2,63,3.174603175
84,ANKRD30A,91074,2,63,3.174603175
85,ANKRD30B,374860,1,63,1.587301587
86,ANKRD50,57182,1,63,1.587301587
87,ANKRD57,65124,1,63,1.587301587
88,ANLN,54443,1,63,1.587301587
89,ANP32B,10541,1,63,1.587301587
90,AOX1,316,1,63,1.587301587
91,AP1G1,164,1,63,1.587301587
92,AP3B1,8546,1,63,1.587301587
93,AP3B2,8120,1,63,1.587301587
94,AP3D1,8943,1,63,1.587301587
95,APBB1,322,1,63,1.587301587
96,APEX1,328,2,122,1.639344262
97,APEX2,27301,1,122,0.819672131
98,APOB,338,1,63,1.587301587
99,APOBEC3F,200316,1,63,1.587301587
100,AQR,9716,1,63,1.587301587
101,ARFGAP3,26286,1,63,1.587301587
102,ARFGEF2,10564,1,63,1.587301587
103,ARHGAP17,55114,1,63,1.587301587
104,ARHGAP21,57584,2,63,3.174603175
105,ARHGAP24,83478,1,63,1.587301587
106,ARHGAP36,158763,1,63,1.587301587
107,ARHGAP5,394,3,63,4.761904762
108,ARHGDIB,397,1,63,1.587301587
109,ARHGEF11,9826,1,63,1.587301587
110,ARHGEF12,23365,1,122,0.819672131
111,ARID1A,8289,1,90,1.111111111
112,ARID2,196528,2,63,3.174603175
113,ARID4B,51742,1,63,1.587301587
114,ARL6IP1,23204,1,63,1.587301587
115,ARSH,347527,1,63,1.587301587
116,ASAP1,50807,1,63,1.587301587
117,ASAP2,8853,1,63,1.587301587
118,ASB2,51676,1,63,1.587301587
119,ASCL4,121549,1,63,1.587301587
120,ASGR2,433,1,63,1.587301587
121,ASH1L,55870,1,63,1.587301587
122,ASPM,259266,1,63,1.587301587
123,ATG2A,23130,1,63,1.587301587
124,ATM,472,1,122,0.819672131
125,ATP10B,23120,1,63,1.587301587
126,ATP1A2,477,1,63,1.587301587
127,ATP1B4,23439,1,63,1.587301587
128,ATP2C2,9914,1,63,1.587301587
129,ATP4A,495,1,63,1.587301587
130,ATP5B,506,1,63,1.587301587
131,ATP5S,27109,1,63,1.587301587
132,ATP6AP1L,92270,1,63,1.587301587
133,ATP6V0B,533,1,63,1.587301587
134,ATP7B,540,1,63,1.587301587
135,ATP8B2,57198,1,63,1.587301587
136,ATR,545,3,63,4.761904762
137,ATRNL1,26033,1,63,1.587301587
138,ATRX,546,1,63,1.587301587
139,ATXN2,6311,1,63,1.587301587
140,ATXN7L2,127002,1,63,1.587301587
141,AUP1,550,1,63,1.587301587
142,AZIN1,51582,1,63,1.587301587
143,B2M,567,1,63,1.587301587
144,B3GALT5,10317,1,63,1.587301587
145,B3GALTL,145173,1,63,1.587301587
146,B4GALNT3,283358,1,63,1.587301587
147,B4GALT5,9334,1,63,1.587301587
148,BAI2,576,3,122,2.459016393
149,BAI3,577,2,122,1.639344262
150,BAIAP3,8938,1,63,1.587301587
151,BAP1,8314,1,135,0.740740741
152,BAZ1A,11177,1,63,1.587301587
153,BBS1,582,1,63,1.587301587
154,BBS4,585,1,63,1.587301587
155,BCHE,590,1,63,1.587301587
156,BCL11A,53335,1,63,1.587301587
157,BCL9L,283149,1,63,1.587301587
158,BCLAF1,9774,1,63,1.587301587
159,BCOR,54880,1,63,1.587301587
160,BCORL1,63035,1,63,1.587301587
161,BDP1,55814,1,63,1.587301587
162,BEND7,222389,1,63,1.587301587
163,BEST2,54831,1,63,1.587301587
164,BID,637,1,63,1.587301587
165,BLM,641,1,122,0.819672131
166,BMP10,27302,1,63,1.587301587
167,BMP15,9210,1,63,1.587301587
168,BNC2,54796,1,63,1.587301587
169,BOLL,66037,1,63,1.587301587
170,BPIL3,128859,1,63,1.587301587
171,BRAF,673,10,389,2.570694087
172,BRCA1,672,6,214,2.803738318
173,BRCA2,675,3,63,4.761904762
174,BRD4,23476,1,63,1.587301587
