Gene,Entrez,Fold change
SCGB1D1,10648,-6.6087739
PIP,5304,-6.1815279
SCGB2A2,4250,-6.162622
COL17A1,1308,-5.5276956
WIF1,11197,-5.3716743
PI15,51050,-5.1684623
EDN3,1908,-4.8708207
OXTR,5021,-4.7249944
NPY2R,4887,-4.6929004
KIAA1456,57604,-4.5881532
HS3ST4,9951,-4.4169064
MIR143HG,728264,-4.4039643
PIK3C2G,5288,-4.3996998
KLHL13,90293,-4.3859959
TP63,8626,-4.2869643
DNALI1,7802,-4.101936
ACTA2-AS1,100132116,-4.0714193
NTRK2,4915,-4.0686562
MUCL1,118430,-4.0617261
HOXA7,3204,-3.9810845
CAPN8,388743,-3.9117057
GSTM2,2946,-3.9030373
ERBB4,2066,-3.8813746
CCL28,56477,-3.866508
ESR1,2099,-3.8613083
IQCA1,79781,-3.8441734
HCAR1,27198,-3.8004024
DMD,1756,-3.7999605
PDK4,5166,-3.7743561
GRPR,2925,-3.6737296
COL4A6,1288,-3.6386655
CX3CR1,1524,-3.5992289
IL20RA,53832,-3.5838756
TAT,6898,-3.5617865
CLSTN2,64084,-3.4941205
RAI2,10742,-3.4853266
PIGR,5284,-3.4723155
C1orf64,149563,-3.4158556
NAV3,89795,-3.4067037
DST,667,-3.4005216
FAM198B,51313,-3.311721
TSHZ2,128553,-3.3058904
C1orf132,100128537,-3.2850024
LAMA3,3909,-3.2538646
KCNJ16,3773,-3.2389382
GSTM2P1,442245,-3.2383353
PTHLH,5744,-3.2331117
DYNLRB2,83657,-3.2175604
THSD4,79875,-3.2129816
FGF14,2259,-3.1950314
IGJ,3512,-3.1782247
PWAR5,8123,-3.1629475
SIGLEC15,284266,-3.1464289
PPP1R3C,5507,-3.1265046
AK5,26289,-3.1012957
FAXDC2,10826,-3.1009351
FGF1,2246,-3.0793591
EFCAB1,79645,-3.0285303
HOXA9,3205,-3.0237413
CA8,767,-3.0227654
AMIGO2,347902,-2.991921
LTBP2,4053,-2.9573295
DCX,1641,-2.9401304
SEMA5A,9037,-2.8934713
DMRTC1,63947,-2.8820106
PGR,5241,-2.8732463
IQUB,154865,-2.8654133
CMYA5,202333,-2.8634821
STC2,8614,-2.8386313
DCLK1,9201,-2.8268936
FAM189A2,9413,-2.8215758
FAM47E,100129583,-2.8171343
XKR6,286046,-2.8171038
TMTC1,83857,-2.8029681
ANKRD30BP3,338579,-2.7506152
AR,367,-2.7427216
CLIC6,54102,-2.7233292
BCL2,596,-2.7213148
KCNMA1,3778,-2.715777
RNF128,79589,-2.708571
TUBB2B,347733,-2.7076145
KIAA1377,57562,-2.7076042
MEG3,55384,-2.6959881
ITM2A,9452,-2.686983
CA12,771,-2.6629085
PLAT,5327,-2.6468387
HOTAIRM1,100506311,-2.6413594
LUZP2,338645,-2.6402209
HBB,3043,-2.632087
POTED,317754,-2.6199107
LIFR,3977,-2.6098842
NECAB1,64168,-2.6066503
MAPT,4137,-2.6049915
MAGI1,9223,-2.6026743
MLPH,79083,-2.6026682
FOXA1,3169,-2.6025802
GATA3,2625,-2.5982115
NRSN1,140767,-2.5857496
CYP4F11,57834,-2.5790051
DKFZp667F0711,399716,-2.5750914
MAMDC2,256691,-2.5482625
CD36,948,-2.5469012
NTF4,4909,-2.5306291
POTEC,388468,-2.5023254
GREB1,9687,-2.4692555
CLDN11,5010,-2.4484011
MAOA,4128,-2.4420305
NRG1,3084,-2.4178495
SYNPO2,171024,-2.3811366
ACSM1,116285,-2.3781534
IRS1,3667,-2.3758844
MPPED2,744,-2.3744324
ROBO3,64221,-2.3720116
CTTNBP2,83992,-2.3685997
RHOJ,57381,-2.3467614
SNURF,8926,-2.3404815
COX7A1,1346,-2.3326395
LOC100509780,100509780,-2.3305097
SPATA18,132671,-2.3296361
ABCG2,9429,-2.3205375
IGF1,3479,-2.3193637
N4BP2L1,90634,-2.3188669
MASP2,10747,-2.3158205
SEMA3G,56920,-2.3014915
PDE1C,5137,-2.2964222
MSX2,4488,-2.2955473
KLF3-AS1,79667,-2.2948047
KIF5A,3798,-2.2941606
UBXN10,127733,-2.2936085
SLC26A3,1811,-2.2849984
SYBU,55638,-2.2754778
DKK3,27122,-2.2636416
TPM1,7168,-2.2628485
SMYD1,150572,-2.261903
LAMB3,3914,-2.2535089
CXCL12,6387,-2.2503673
PDGFRA,5156,-2.247768
TPTE,7179,-2.2462456
SCGB2A1,4246,-2.24279
AZGP1,563,-2.2421899
GRIK3,2899,-2.2368395
JAM3,83700,-2.2324892
C1orf115,79762,-2.2112573
ANKRD20A12P,100874392,-2.2111731
ANKRD20A11P,391267,-2.1951585
BEND5,79656,-2.1934227
KRT15,3866,-2.1862076
KIT,3815,-2.1830712
PDE2A,5138,-2.1676612
RUNX1T1,862,-2.1598482
CFAP70,118491,-2.1588555
TMEM26,219623,-2.1573049
KRT5,3852,-2.153662
ARHGEF38,54848,-2.1399411
NAP1L2,4674,-2.1324661
FAM3B,54097,-2.1316067
RBMS3,27303,-2.1275648
PRICKLE2,166336,-2.127469
ZNF214,7761,-2.1243927
PDZK1,5174,-2.1194641
SEMA6A,57556,-2.1023816
LIN7A,8825,-2.1013016
ANKRD20A2,441430,-2.0990921
SEMA3C,10512,-2.0943928
VIPR1,7433,-2.0908017
DMKN,93099,-2.0880564
KCNMB1,3779,-2.0849947
LETM2,137994,-2.0784893
ARL4A,10124,-2.0709466
PAK3,5063,-2.0672706
ZNF175,7728,-2.0563058
LOC100129846///RBPMS,100129846,-2.0499113
NRG2,9542,-2.0399123
TUB,7275,-2.0366171
ANGPTL7,10218,-2.0339574
RHD,6007,-2.0247929
GRAMD3,65983,-2.0217195
CELF6,60677,-2.0124682
RSPH1,89765,-2.0071405
ZSCAN18,65982,-1.9892154
INHBB,3625,-1.9865507
NPHP1,4867,-1.9810907
HOXB3,3213,-1.979065
LOC400464,400464,-1.9766172
RBPMS,11030,-1.9682314
LGR6,59352,-1.9653979
ADCY10P1,221442,-1.9618195
OR5P2,120065,-1.9522247
EDNRB,1910,-1.9514335
KLK11,11012,-1.9460875
LTF,4057,-1.9416536
NEIL1,79661,-1.9389126
CRACR2A,84766,-1.9364954
LRP2BP,55805,-1.9260326
RSPO3,84870,-1.9221398
MME,4311,-1.9176973
AGR2,10551,-1.9146715
AASS,10157,-1.9007777
PCSK1,5122,-1.8956558
LPPR1,54886,-1.8945096
SRPX,8406,-1.8917796
GLIPR1L2,144321,-1.8756338
CHIC1,53344,-1.8702242
FMO2,2327,-1.8662687
GSTM1,2944,-1.8644337
CFI,3426,-1.8639484
SLCO1A2,6579,-1.8622058
COL4A5,1287,-1.860285
PLEKHA6,22874,-1.8585406
DIXDC1,85458,-1.8522721
ZNF608,57507,-1.849625
CYP4F30P,100132708,-1.8482737
LPCAT2,54947,-1.8430383
SPEF2,79925,-1.8399847
DIRAS3,9077,-1.8328594
GATA2,2624,-1.8327428
KCNJ8,3764,-1.8228129
C1QTNF3,114899,-1.8212505
PELI2,57161,-1.8161986
ACADSB,36,-1.8161941
GSTM3,2947,-1.8125148
NDRG2,57447,-1.8108477
CRIPT,9419,-1.8094337
CX3CL1,6376,-1.8068315
CCDC74B,91409,-1.8047998
CACNA1D,776,-1.8047776
RNF133,168433,-1.7973477
GPRASP2,114928,-1.79438
LAYN,143903,-1.7890839
RBM43,375287,-1.7865947
BBOX1,8424,-1.7821823
FAT3,120114,-1.7807379
ABCC8,6833,-1.7684934
PLK2,10769,-1.7671171
SYTL2,54843,-1.7642537
TSPYL1,7259,-1.76071
CLDN8,9073,-1.7583182
CRYBA1,1411,-1.7549935
FCGBP,8857,-1.7522552
MAB21L1,4081,-1.7518823
ABCB1,5243,-1.748212
KLB,152831,-1.7476583
ITPR1,3708,-1.7471458
HEY2,23493,-1.7470683
RAB27B,5874,-1.7454009
HSPA1L,3305,-1.7440633
PHLDB2,90102,-1.7439781
MCTP2,55784,-1.7404021
CRIM1,51232,-1.7352313
ERICH3,127254,-1.7325457
GFRA1,2674,-1.7322708
C6orf10,10665,-1.7285968
SUGT1P3,283507,-1.7246534
F2RL2,2151,-1.7177254
MRPL43,84545,-1.7164106
CAB39L,81617,-1.7140372
LINC00937,389634,-1.7110765
FRY,10129,-1.7099266
ISM1,140862,-1.7071208
C1orf168,199920,-1.7053006
MSANTD2,79684,-1.704126
LOC100289230,100289230,-1.7018073
ZDHHC11,79844,-1.7000884
ANKRD42,338699,-1.6972711
SHISA2,387914,-1.6931409
IGF2,3481,-1.6910708
NAV2,89797,-1.6898935
C3orf18,51161,-1.6879382
KLHL29,114818,-1.6869638
TMC5,79838,-1.6865556
ESRRG,2104,-1.6838531
NR3C2,4306,-1.6837785
AFP,174,-1.6837397
SLC40A1,30061,-1.6817271
TTC23L,153657,-1.6792826
PRDM2,7799,-1.6781568
CDC14A,8556,-1.6759447
SPON1,10418,-1.6683903
MYLK,4638,-1.6655899
GRIK1-AS2,100379661,-1.6628485
SALL2,6297,-1.6581373
LINC01158,100506421,-1.6566096
MACROD2,140733,-1.6536289
ANKRD30B,374860,-1.6504848
LIFR-AS1,100506495,-1.64634
FSIP1,161835,-1.640811
RABEP1,9135,-1.6406533
TNFSF12,8742,-1.6380325
FAM110B,90362,-1.6309193
SCN7A,6332,-1.6303955
IQGAP2,10788,-1.6265461
FAM13A,10144,-1.6231899
ECHDC2,55268,-1.6215578
DSC1,1823,-1.6197909
CRYAB,1410,-1.6181836
ENPP1,5167,-1.6139758
RASSF9,9182,-1.6110263
SLC7A14,57709,-1.6081746
PLIN1,5346,-1.6067089
BMP2K,55589,-1.606229
MPV17L,255027,-1.6056882
ARHGAP19,84986,-1.603733
NEDD4L,23327,-1.5976636
TMEM246,84302,-1.5958356
NOS1AP,9722,-1.5949209
EYS,346007,-1.590454
ERICH1,157697,-1.5898751
TRIM68,55128,-1.5849578
LOC145837,145837,-1.5820446
SHANK2,22941,-1.5786709
THRB,7068,-1.576789
NDST1,3340,-1.5761239
ITGA2,3673,-1.5741494
SGSM2,9905,-1.5700802
RTN4RL1,146760,-1.5699758
SMPD3,55512,-1.5694924
PIK3R1,5295,-1.5686936
NDUFA5,4698,-1.566819
ZSWIM5,57643,-1.5663119
CDKL2,8999,-1.5654093
CATSPER2,117155,-1.5649284
ANKRD30BP2,149992,-1.5649121
LOC101927056,101927056,-1.5648251
PARVA,55742,-1.5647699
ZNF503,84858,-1.562314
FYCO1,79443,-1.5548288
KIAA0408,9729,-1.5547354
MEIS3P1,4213,-1.5527581
ARHGEF28,64283,-1.5511542
APBA1,320,-1.5449838
NBEA,26960,-1.540264
SPDYE8P,728524,-1.5378821
HBA1,3039,-1.5366769
DNAH11,8701,-1.5327366
ADH1A,124,-1.5273846
SH3BGRL2,83699,-1.5243597
TRO,7216,-1.5238078
MIRLET7BHG,400931,-1.5231406
SLC25A30,253512,-1.5196851
LOC100507053,100507053,-1.5182469
SORBS1,10580,-1.516521
ALOX15B,247,-1.5161719
ANKRD65,441869,-1.5145686
TAPT1-AS1,202020,-1.5123774
FAR2P1,440905,-1.5116948
MRPL42P5,359821,-1.5099705
WDR78,79819,-1.5097537
LRP4,4038,-1.508569
NLGN4Y,22829,-1.5081325
CAMK2N1,55450,-1.5076414
GJC3,349149,-1.5056098
HOXA2,3199,-1.4981707
CCDC122,160857,-1.4955927
TNS1,7145,-1.4942634
NR3C1,2908,-1.4936425
SORCS2,57537,-1.49216
PLEKHA5,54477,-1.4900314
ARID2,196528,-1.487429
METTL25,84190,-1.4869528
PRPH2,5961,-1.4854091
ERGIC1,57222,-1.4847564
GATM,2628,-1.4837731
SIK3,23387,-1.4830548
LEPR,3953,-1.4734707
GULP1,51454,-1.473108
PDGFD,80310,-1.4715013
INPP4B,8821,-1.4712063
ANGPTL1,9068,-1.4697506
DKFZP547L112,81787,-1.4689551
CBX7,23492,-1.4680616
