#Gene_Name,Entrez
GCLC,2729
NFYA,4800
CFTR,1080
CYP51A1,1595
KRIT1,889
HS3ST1,9957
MAD1L1,8379
M6PR,4074
CYP26B1,56603
CFLAR,8837
TFPI,7035
PLXND1,23129
FKBP4,2288
KDM1A,23028
ARX,170302
SLC4A1,6521
CALCR,799
DVL2,1856
UPF1,5976
LIG3,3980
CIAPIN1,57019
CREBBP,1387
MLL5,55904
MYCBP2,23077
ITGA3,3675
ZFX,7543
CRLF1,9244
DLX6,1750
GTF2IRD1,9569
PAFAH1B1,5048
SCN4A,6329
PAX6,5080
CACNA2D2,9254
JARID2,3720
TFAP2B,7021
ADAM22,53616
CELSR3,1951
NFIX,4784
PKD1,5310
MED24,9862
RPS20,6224
REV3L,5980
PAX7,5081
BAZ1B,9031
RANBP9,10048
TCEB3,6924
NME2,4831
MKS1,54903
ABHD5,51099
MBTD1,54799
ERCC1,2067
EXTL3,2137
PSMC4,5704
PGM3,5238
DDX11,1663
TACC3,10460
MDH1,4190
COX15,1355
ISL1,3670
ATP2C1,27032
IGF1,3479
CNTN1,1272
WWTR1,25937
AGPS,8540
ATP1A2,477
CYP24A1,1591
SNAI2,6591
HGF,3082
NCDN,23154
GPR124,25960
MNAT1,4331
RUNX3,864
MRE11A,4361
NRXN3,9369
CPS1,1373
GABRA1,2554
RB1CC1,9821
ALAS1,211
STRAP,11171
UBR2,23304
HSF2,3298
RTEL1-TNFRSF6B,100533107
PRKCH,5583
VEZT,55591
BCLAF1,9774
ANK1,286
TFB1M,51106
IKZF2,22807
PNPLA6,10908
IFT88,8100
FUT8,2530
UBA6,55236
PIAS1,8554
VCL,7414
CUL3,8452
OTC,5009
CASR,846
FLT4,2324
HOXC8,3224
TLL1,7092
TRIO,7204
VCAN,1462
CDH1,999
DNAH5,1767
INPP4A,3631
ZIC2,7546
LCP2,3937
ADRB1,153
CUL7,9820
CTNNA1,1495
EPHA3,2042
HSPA5,3309
DSG2,1829
VPS13D,55187
KITLG,4254
LTBP1,4052
ELN,2006
FOXP3,50943
BCAR1,9564
RAD51,5888
PIK3CB,5291
ALX4,60529
USE1,55850
LAMA3,3909
ARID4B,51742
HHAT,55733
KIF1B,23095
FOXC1,2296
GALC,2581
KCNH2,3757
CUL1,8454
TAB2,23118
MLL3,58508
MCOLN3,55283
ZFR,51663
PCGF2,7703
PKP2,5318
F7,2155
PRDM1,639
ATG5,9474
LAMC2,3918
PPP1R12A,4659
SLC2A3,6515
WNK1,65125
COL11A1,1301
HDAC7,51564
NCKAP1,10787
GUCY1B3,2983
DGAT2,84649
POLD1,5424
RNF4,6047
CASP8,841
DLX3,1747
NGFR,4804
CDON,50937
SLC12A2,6558
DDX20,11218
CALCRL,10203
AP3D1,8943
OAT,4942
NTN1,9423
MCM10,55388
ERBB3,2065
SPEN,23013
MAP2K4,6416
COL17A1,1308
MTHFD2,10797
CTNNA2,1496
ELAVL1,1994
TIE1,7075
SPI1,6688
FGFR2,2263
KIF26A,26153
ZFAT,57623
FECH,2235
KLF6,1316
NEO1,4756
CACNB1,782
PKM,5315
DHX29,54505
TRO,7216
SYT1,6857
ROCK1,6093
CBFB,865
HYAL2,8692
HDAC4,9759
FGFR3,2261
MEF2A,4205
INPP5A,3632
TTC7A,57217
CYFIP1,23191
KIF2A,3796
IFT80,57560
PITX1,5307
NUP133,55746
RORA,6095
TGFBR3,7049
NEDD4,4734
MAPK6,5597
GNB5,10681
LRP6,4040
IKBKAP,8518
SPTB,6710
FGF10,2255
MNT,4335
JMJD6,23210
POLB,5423
NDST1,3340
CNGB1,1258
CHAT,1103
TCOF1,6949
CDC42,998
ATP2B1,490
MAP4K4,9448
WDR1,9948
SNX13,23161
SEL1L,6400
TRIP13,9319
ATP6AP1,537
TCF3,6929
DAZAP1,26528
MBD3,53615
PDCD2,5134
PRKACA,5566
SPEG,10290
TFRC,7037
SREBF1,6720
AFF4,27125
MARK2,2011
NFATC3,4775
EVC,2121
DERL2,51009
AP1M1,8907
IKBKG,8517
XRCC1,7515
SCARB1,949
MCM2,4171
TP63,8626
LLGL2,3993
NLE1,54475
KDM5A,5927
FERMT2,10979
PTGS2,5743
GLI2,2736
CLNS1A,1207
TEAD2,8463
TSG101,7251
NUAK1,9891
LMAN1,3998
ENO1,2023
SLC12A1,6557
KCNQ2,3785
SEMA3A,10371
SEMA3C,10512
CELSR1,9620
FGF4,2249
MARK3,4140
FNDC3B,64778
FOSL2,2355
ACTB,60
DLG1,1739
PAX2,5076
KIFAP3,22920
MCM6,4175
PTPN23,25930
MLH1,4292
TRAF4,9618
XAB2,56949
MAP2K7,5609
DGKD,8527
ACTL6B,51412
TOP2B,7155
GTF3C1,2975
DCX,1641
SIRT6,51548
TYR,7299
PHF17,79960
UBE2A,7319
FGFR1,2260
GTF2I,2969
FBLN1,2192
ITGA8,8516
ARAF,369
PIK3C3,5289
TULP3,7289
GNB1,2782
EDN1,1906
ADCYAP1R1,117
NRD1,4898
CBFA2T2,9139
TP73,7161
RUNX1T1,862
THOC1,9984
XRCC5,7520
SENP1,29843
FDFT1,2222
KIF22,3835
DNM2,1785
RIMS1,22999
KEAP1,9817
RFX3,5991
RIF1,55183
SLC4A4,8671
CPB2,1361
CHRNA3,1136
KCNN2,3781
PSEN1,5663
RBL1,5933
MEF2C,4208
PTPRC,5788
CACNA1S,779
UBA5,79876
LRP2,4036
CCNT2,905
COL19A1,1310
NFE2L1,4779
GSK3B,2932
ERC1,23085
PALB2,79728
KAT6A,7994
GRHL2,79977
PDS5B,23047
OXCT1,5019
CYLD,1540
FAT1,2195
ZMPSTE24,10269
NOA1,84273
REST,5978
APLP2,334
APOB,338
HADHA,3030
ATRX,546
MECOM,2122
MAP3K4,4216
RRN3,54700
CTTN,2017
WNT11,7481
ATG16L1,55054
POMGNT1,55624
B4GALT1,2683
CHMP5,51510
TMED2,10959
HSD17B2,3294
HUWE1,10075
MTMR2,8898
ACHE,43
SRRT,51593
NLK,51701
GNAO1,2775
ADD1,118
GNAS,2778
DNM1L,10059
PTHLH,5744
TFAP2C,7022
AURKA,6790
CNOT3,4849
DNMT3B,1789
FKBP1A,2280
SLC23A2,9962
KDM2B,84678
LHX5,64211
TASP1,55617
PXN,5829
KIF16B,55614
