#Entrez gene name, Entrez gene ID
Dec-01,50514
Mar-02,51257
Sep-02,4735
Sep-04,5414
A1BG,1
A2M,2
AA,8
AAAS,8086
AAK1,22848
AANAT,15
AATF,26574
AAVS1,17
ABCA1,19
ABCA3,21
ABCB1,5243
ABCC1,4363
ABCC3,8714
ABCC8,6833
ABCG1,9619
ABCG2,9429
ABCG5,64240
ABHD5,51099
ABI1,10006
ABI2,10152
ABI3,51225
ABL1,25
ABL2,27
ABP1,26
ABR,29
ABT1,29777
ACAA1,30
ACACA,31
ACACB,32
ACADL,33
ACADM,34
ACADVL,37
ACAN,176
ACAP1,9744
ACAP2,23527
ACCN2,41
ACCN3,9311
ACD,65057
ACE,1636
ACE2,59272
ACHE,43
ACIN1,22985
ACO1,48
ACOT13,55856
ACOT7,11332
ACOX1,51
ACOX2,8309
ACOX3,8310
ACP1,52
ACP6,51205
ACR,49
ACRC,93953
ACSL1,2180
ACSL3,2181
ACSL4,2182
ACSL5,51703
ACSL6,23305
ACSM3,6296
ACSS1,84532
ACSS2,55902
ACTA1,58
ACTA2,59
ACTB,60
ACTG1,71
ACTG2,72
ACTIN,280979
ACTL6A,86
ACTL6B,51412
ACTN1,87
ACTN2,88
ACTN3,89
ACTN4,81
ACTR1A,10121
ACTR2,10097
ACTR3,10096
ACTRT1,139741
ACVR1,90
ACVR1B,91
ACVR1C,130399
ACVR2A,92
ACVR2B,93
ACVRL1,94
AD5,8081
ADA,100
ADAM10,102
ADAM12,8038
ADAM15,8751
ADAM17,6868
ADAM19,8728
ADAM2,2515
ADAM22,53616
ADAM23,8745
ADAM33,80332
ADAM9,8754
ADAMTS1,9510
ADAMTS13,11093
ADAMTS16,170690
ADAMTS4,9507
ADAP1,11033
ADAR,103
ADARB1,104
ADCY1,107
ADCY10,55811
ADCY2,108
ADCY3,109
ADCY4,196883
ADCY5,111
ADCY6,112
ADCY7,113
ADCY8,114
ADCY9,115
ADCYAP1,116
ADCYAP1R1,117
ADD1,118
ADH1A,124
ADI1,55256
ADIPOQ,9370
ADIPOR1,51094
ADIPOR2,79602
ADM,133
ADM2,79924
ADNP,23394
ADORA1,134
ADORA2A,135
ADORA2B,136
ADORA3,140
ADRA1A,148
ADRA1B,147
ADRA1D,146
ADRA2A,150
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRB2,154
ADRB3,155
ADRBK1,156
ADRBK2,157
ADRM1,11047
ADSS,159
AEN,64782
AES,166
AFF1,4299
AFM,173
AFP,174
AGA,175
AGAP2,116986
AGER,177
AGGF1,55109
AGR2,10551
AGRN,375790
AGRP,181
AGT,183
AGTR1,185
AGTR2,186
AGTRAP,57085
AHNAK,79026
AHR,196
AHRR,57491
AHSG,197
AHSP,51327
AIC,192
AICDA,57379
AIF1,199
AIFM1,9131
AIFM2,84883
AIM2,9447
AIMP2,7965
AIP,9049
AIRE,326
AJAP1,55966
AK2,204
AKAP1,8165
AKAP10,11216
AKAP13,11214
AKAP3,10566
AKAP5,9495
AKAP8,10270
AKAP9,10142
AKR1B1,231
AKR1B10,57016
AKR1C2,1646
AKR7A2,8574
AKT1,207
AKT1S1,84335
AKT2,208
AKT3,10000
ALAS1,211
ALB,213
ALCAM,214
ALDH1A1,216
ALDH1A2,8854
ALDH9A1,223
ALDOA,226
ALDOB,229
ALK,238
ALMS1,7840
ALOX12B,242
ALOX15,246
ALOX15B,247
ALOX5,240
ALOX5AP,241
ALPI,248
ALPK1,80216
ALPK3,57538
ALPP,250
ALRH,260328
ALX1,8092
AMBN,258
AMELY,266
AMFR,267
AMH,268
AMHR2,269
AMICA1,120425
AMPH,273
ANAPC1,64682
ANAPC10,10393
ANAPC11,51529
ANAPC13,25847
ANAPC2,29882
ANAPC4,29945
ANAPC5,51433
ANAPC7,51434
ANG,283
ANGPT1,284
ANGPT2,285
ANGPT4,51378
ANGPTL1,9068
ANGPTL4,51129
ANK1,286
ANKRD1,27063
ANKRD11,29123
ANKRD12,23253
ANKRD6,22881
ANKS1A,23294
ANP32A,8125
ANP32B,10541
ANPEP,290
ANTXR1,84168
ANTXR2,118429
ANXA1,301
ANXA11,311
ANXA2,302
ANXA5,308
ANXA6,309
ANXA7,310
AOC3,8639
AP1B1,162
AP1G1,164
AP1S2,1902
AP2A1,160
AP2A2,161
AP2B1,163
AP2M1,1173
AP2S1,1175
APAF1,317
APBA1,320
APBA2,321
APBA3,9546
APBB1,322
APBB1IP,54518
APC,324
APC2,10297
APEX1,328
APEX2,27301
APH1A,51107
APH1B,83464
APIP,51074
APITD1,378708
APLN,8862
APLNR,187
APLP1,333
APLP2,334
APOA1,335
APOA2,336
APOA5,116519
APOB,338
APOBEC1,339
APOBEC2,10930
APOBEC3G,60489
APOC2,344
APOC3,345
APOE,348
APOF,319
APP,351
APPL1,26060
APPL2,55198
APRT,353
AQP1,358
AQP2,359
AQP3,360
AQP7,364
AR,367
ARAF,369
ARAP1,116985
ARAP2,116984
ARAP3,64411
AREG,374
ARF1,375
ARF4,378
ARF5,381
ARF6,382
ARFGAP1,55738
ARFGAP2,84364
ARFGAP3,26286
ARFGEF1,10565
ARFGEF2,10564
ARFIP1,27236
ARFIP2,23647
ARG1,383
ARHGAP1,392
ARHGAP10,79658
ARHGAP17,55114
ARHGAP20,57569
ARHGAP24,83478
ARHGAP26,23092
ARHGAP39,80728
ARHGAP4,393
ARHGAP5,394
ARHGAP6,395
ARHGAP8,23779
ARHGAP9,64333
ARHGDIA,396
ARHGDIB,397
ARHGEF1,9138
ARHGEF10,9639
ARHGEF10L,55160
ARHGEF11,9826
ARHGEF12,23365
ARHGEF15,22899
ARHGEF17,9828
ARHGEF18,23370
ARHGEF2,9181
ARHGEF3,50650
ARHGEF4,50649
ARHGEF5,7984
ARHGEF6,9459
ARHGEF7,8874
ARHGEF9,23229
ARID1A,8289
ARID3A,1820
ARID4A,5926
ARIH2,10425
ARL2,402
ARL4C,10123
ARL6IP5,10550
ARNT,405
ARNT2,9915
ARNTL,406
ARPC1A,10552
ARPC1B,10095
ARPC2,10109
ARPC3,10094
ARPC4,10093
ARPC5,10092
ARPC5L,81873
ARRB1,408
ARRB2,409
ARRDC4,91947
ARSA,410
ARSB,411
ARSG,22901
ARTN,9048
ASAH1,427
ASAP1,50807
ASAP2,8853
ASAP3,55616
ASB15,142685
ASCC1,51008
ASCC3,10973
ASCL1,429
ASIP,434
ASMT,438
ASNS,440
ASPH,444
ASPN,54829
ATF1,466
ATF2,1386
ATF3,467
ATF4,468
ATF6,22926
ATF7,11016
ATG12,9140
ATG3,64422
ATG5,9474
ATG7,10533
ATIC,471
ATM,472
ATN1,1822
ATOH1,474
ATP1B3P1,484
ATP1BL1,485
ATP2A1,487
ATP2A2,488
ATP2A3,489
ATP2B1,490
ATP2B4,493
ATP2C1,27032
ATP5J,522
ATP5J2,9551
ATP5O,539
ATP6,4508
ATP6AP2,10159
ATP6V0A4,50617
ATP6V0D1,9114
ATP6V0D2,245972
ATP6V1B1,525
ATP6V1D,51382
ATP6V1F,9296
ATP6V1G1,9550
ATP6V1G2,534
ATP6V1G3,127124
ATP6V1H,51606
ATP8A2,51761
ATR,545
ATRIP,84126
ATRN,8455
ATRX,546
ATXN1,6310
ATXN2,6311
ATXN3,4287
ATXN7,6314
AURKA,6790
AURKAIP1,54998
AURKB,9212
AURKC,6795
AVEN,57099
AVP,551
AVPR1A,552
AVPR1B,553
AVPR2,554
AXIN1,8312
AXIN2,8313
AXL,558
AZI1,22994
AZI2,64343
AZIN1,51582
B2M,567
B3GAT1,27087
BACE1,23621
BACE2,25825
BACH1,571
BACH2,60468
