"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"216529_at"	0.00108974593390202	4.89048123637761e-08	6.19308908277916	5.25136700108221	3.4311412354342	""	""
"220781_at"	0.00495506851041688	4.4473980257747e-07	5.62821608510847	3.83883487889342	4.56627081589951	"DEC1"	"deleted in esophageal cancer 1"
"211518_s_at"	0.0229890105193119	3.91692890860976e-06	-5.05547811711903	2.42182380665827	-2.43161627058632	"BMP4"	"bone morphogenetic protein 4"
"203826_s_at"	0.0229890105193119	4.12673527250583e-06	5.0414812731797	2.3875659698147	3.1102333369471	"PITPNM1"	"phosphatidylinositol transfer protein membrane associated 1"
"204631_at"	0.0279651545515088	6.27499765550168e-06	4.92853876490099	2.11199277019114	3.2283633752815	"MYH2"	"myosin heavy chain 2"
"219330_at"	0.0385543193479305	1.03812734410799e-05	4.79155380644298	1.78000532447535	1.9240513783899	"VANGL1"	"VANGL planar cell polarity protein 1"
"214416_at"	0.0389669993637134	1.22411253218145e-05	4.74637788408051	1.67111478024557	3.36774086898073	""	""
"206677_at"	0.0390299423947246	1.40124551971367e-05	-4.70920095836119	1.58174136693283	-4.92995598702736	"KRT31"	"keratin 31"
"201081_s_at"	0.0568709327824109	2.29699050864649e-05	4.5721933918814	1.25434121656732	2.83349553878934	"PIP4K2B"	"phosphatidylinositol-5-phosphate 4-kinase type 2 beta"
"216681_at"	0.0618372257300491	2.77508529955792e-05	4.51931825630525	1.12886930814882	2.9841653984819	""	""
"210160_at"	0.0648836862119691	3.20298231087223e-05	4.47903805195171	1.03363501014153	1.97100630533248	"PAFAH1B2"	"platelet activating factor acetylhydrolase 1b catalytic subunit 2"
"208483_x_at"	0.0869606499666344	4.68306691019886e-05	-4.37155042563049	0.78106183406877	-6.5790351378392	"KRT33A"	"keratin 33A"
"211496_s_at"	0.166660021908296	9.72301882514855e-05	4.16134273517077	0.294268413564876	2.9943239423185	"PDC"	"phosducin"
"215861_at"	0.233206150429894	0.000146519144909506	4.04110528295259	0.0205209397495842	2.11797668478492	"LOC101927770"	"uncharacterized LOC101927770"
"208041_at"	0.274381501994758	0.000184702352911249	3.97241601942137	-0.134197976424066	2.12178077855392	"GRK1"	"G protein-coupled receptor kinase 1"
"217600_at"	0.290861056974614	0.000208848759664041	3.93573112472512	-0.216309100627901	3.59635218888309	"SCUBE3"	"signal peptide, CUB domain and EGF like domain containing 3"
"207471_at"	0.291647784912055	0.000233932158999752	3.9017109728267	-0.292123539574641	3.88105952764633	"RARS2"	"arginyl-tRNA synthetase 2, mitochondrial"
"207896_s_at"	0.291647784912055	0.000235590366127406	-3.89958731728016	-0.296845388350204	-5.78756810344733	"DLEC1"	"deleted in lung and esophageal cancer 1"
"221467_at"	0.3332497052065	0.000284151344025647	3.84302088605507	-0.422144987469893	2.34127852355253	"MC4R"	"melanocortin 4 receptor"
"206002_at"	0.37032296924941	0.00033238160862488	3.79536699938284	-0.526980426524667	2.72860306841125	"ADGRG2"	"adhesion G protein-coupled receptor G2"
"201710_at"	0.398964624531788	0.00037599322870204	3.75767089237334	-0.609429320297064	2.82291576651087	"MYBL2"	"MYB proto-oncogene like 2"
"217628_at"	0.412238152856983	0.000422377777940736	3.72191785716718	-0.687227878807567	2.93573887578647	"CLIC5"	"chloride intracellular channel 5"
"202235_at"	0.412238152856983	0.000442881129907661	3.70729680810613	-0.718929187328638	3.57282792075893	"SLC16A1"	"solute carrier family 16 member 1"
"221913_at"	0.412238152856983	0.000444002857270906	3.70651568209121	-0.720620941920505	1.78749596660904	"SIRT3"	"sirtuin 3"
