"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"214710_s_at"	7.06114245215176e-05	1.29147552851427e-09	30.4451778412553	"CCNB1"	"cyclin B1"
"205047_s_at"	0.000153236876608164	5.68935071315928e-09	26.2542425652695	"ASNS"	"asparagine synthetase (glutamine-hydrolyzing)"
"202402_s_at"	0.000153236876608164	8.40805907315032e-09	25.2339261551595	"CARS"	"cysteinyl-tRNA synthetase"
"228273_at"	0.000154872101597396	1.2344504425469e-08	24.2626790647611	"PRR11"	"proline rich 11"
"209680_s_at"	0.000154872101597396	1.41629722539914e-08	23.9226110724162	"KIFC1"	"kinesin family member C1"
"226980_at"	0.000182868107892453	2.00678307700909e-08	23.0774918269057	"DEPDC1B"	"DEP domain containing 1B"
"203438_at"	0.000452846795061328	5.79776418002614e-08	20.6506329201509	"STC2"	"stanniocalcin 2"
"204315_s_at"	0.000468333609460565	6.85261797107365e-08	20.2874408031332	"GTSE1"	"G2 and S-phase expressed 1"
"233660_at"	0.000626971426787985	1.26168121697494e-07	19.0032878551652	"EHD4"	"EH domain containing 4"
"209230_s_at"	0.000626971426787985	1.41250452691535e-07	18.7727921191332	"NUPR1"	"nuclear protein 1, transcriptional regulator"
"209642_at"	0.000626971426787985	1.43190266591965e-07	18.7450963334873	"BUB1"	"BUB1 mitotic checkpoint serine/threonine kinase"
"207702_s_at"	0.000626971426787985	1.4387246750328e-07	18.7354526503443	"MAGI2"	"membrane associated guanylate kinase, WW and PDZ domain containing 2"
"223312_at"	0.000626971426787985	1.4907413897108e-07	18.6635110622953	"PRADC1"	"protease associated domain containing 1"
"224763_at"	0.00066296224476812	1.97086704236092e-07	18.1053039911476	"LOC100506548///RPL37"	"uncharacterized LOC100506548///ribosomal protein L37"
"236641_at"	0.00066296224476812	2.04972099494634e-07	18.0279033442043	"KIF14"	"kinesin family member 14"
"214963_at"	0.00066296224476812	2.29191398797411e-07	17.8089288364069	"NUP160"	"nucleoporin 160"
"209101_at"	0.00066296224476812	2.42007140729181e-07	17.7029828844068	"CTGF"	"connective tissue growth factor"
"218261_at"	0.00066296224476812	2.46115029591531e-07	17.6703050873835	"AP1M2"	"adaptor related protein complex 1 mu 2 subunit"
"226661_at"	0.00066296224476812	2.54312060526559e-07	17.6068286168532	"CDCA2"	"cell division cycle associated 2"
"209383_at"	0.00066296224476812	2.62423098613472e-07	17.5461626129303	"DDIT3"	"DNA damage inducible transcript 3"
"230165_at"	0.00066296224476812	2.66041993216306e-07	17.5197473713196	"SGO2"	"shugoshin 2"
"201475_x_at"	0.00066296224476812	2.69837343088532e-07	17.4924589812929	"MIR6758///MARS"	"microRNA 6758///methionyl-tRNA synthetase"
"210587_at"	0.00066296224476812	2.78886723907942e-07	17.4290369561123	"INHBE"	"inhibin beta E subunit"
"202847_at"	0.000681849314444907	2.99302854077325e-07	17.2937824222702	"PCK2"	"phosphoenolpyruvate carboxykinase 2, mitochondrial"
"202870_s_at"	0.000855845968538755	4.02158663126504e-07	16.7367912279839	"CDC20"	"cell division cycle 20"
"222039_at"	0.000855845968538755	4.40039106967773e-07	16.5697506207405	"KIF18B"	"kinesin family member 18B"
"213055_at"	0.000855845968538755	4.43678163777057e-07	16.5545298975444	"CD47"	"CD47 molecule"
"212022_s_at"	0.000855845968538755	4.50598100283492e-07	16.5259560059158	"MKI67"	"marker of proliferation Ki-67"
"228729_at"	0.000855845968538755	4.53946649979404e-07	16.5122992696683	"CCNB1"	"cyclin B1"
"222608_s_at"	0.000884022612737342	4.85060418511573e-07	16.390390645326	"ANLN"	"anillin actin binding protein"
"202768_at"	0.000946543831101215	5.36677800898723e-07	16.2057173086464	"FOSB"	"FosB proto-oncogene, AP-1 transcription factor subunit"
"219555_s_at"	0.000959042541400356	5.61305191125951e-07	16.1242760599936	"CENPN"	"centromere protein N"
"202014_at"	0.000965950451535671	5.8553641865441e-07	16.0478366924391	"PPP1R15A"	"protein phosphatase 1 regulatory subunit 15A"
"220755_s_at"	0.000965950451535671	6.14644837595797e-07	15.9604181231034	"C6orf48"	"chromosome 6 open reading frame 48"
"231412_at"	0.000965950451535671	6.1834962604021e-07	15.9496145153897	"LOC101929709"	"uncharacterized LOC101929709"
"232228_at"	0.000992036846942459	6.53192985641125e-07	15.8513110412803	"ZNF530"	"zinc finger protein 530"
"204709_s_at"	0.00106491277647414	7.20654279461235e-07	15.67617205481	"KIF23"	"kinesin family member 23"
"203932_at"	0.00123584856479281	8.76025048024477e-07	15.3324800960448	"HLA-DMB"	"major histocompatibility complex, class II, DM beta"
"202580_x_at"	0.00123584856479281	8.91991629803807e-07	15.3009635469999	"FOXM1"	"forkhead box M1"
"228522_at"	0.00123584856479281	9.04141611188157e-07	15.2773871742251	"FBRSL1"	"fibrosin like 1"
"215525_at"	0.00150767382289857	1.13058302220103e-06	14.891702792469	""	""
"207165_at"	0.00153842942006443	1.20504806198861e-06	14.7829333558984	"HMMR"	"hyaluronan mediated motility receptor"
"213449_at"	0.00153842942006443	1.20992162894871e-06	14.7760701261657	"POP1"	"POP1 homolog, ribonuclease P/MRP subunit"
"204641_at"	0.00158499173572883	1.27927339051492e-06	14.6815268833629	"NEK2"	"NIMA related kinase 2"
"222852_at"	0.00158499173572883	1.30451994710192e-06	14.6484803883691	"C10orf88"	"chromosome 10 open reading frame 88"
"207828_s_at"	0.00166644695782532	1.40204042176433e-06	14.5270329234473	"CENPF"	"centromere protein F"
"235711_at"	0.00168105119699078	1.44507373129523e-06	14.476320128171	"MIR4657///PURB"	"microRNA 4657///purine rich element binding protein B"
"202705_at"	0.00180212458580725	1.58211211922721e-06	14.3250975723244	"CCNB2"	"cyclin B2"
"223625_at"	0.00187524789282632	1.68060625054394e-06	14.2249204073278	"FAM126A"	"family with sequence similarity 126 member A"
"1559634_at"	0.00187586698134724	1.71547049048673e-06	14.1909757505792	"CHRM3"	"cholinergic receptor muscarinic 3"
"1555788_a_at"	0.00204087620633932	1.90369797024793e-06	14.0197437743233	"TRIB3"	"tribbles pseudokinase 3"
"218355_at"	0.00212900975238109	2.02484695242463e-06	13.9189648944601	"KIF4A"	"kinesin family member 4A"
"212021_s_at"	0.00230631188672597	2.23565669860954e-06	13.7582534273461	"MKI67"	"marker of proliferation Ki-67"
"212949_at"	0.002373485417151	2.38400077142354e-06	13.6547048171213	"NCAPH"	"non-SMC condensin I complex subunit H"
"203360_s_at"	0.002373485417151	2.38759392671797e-06	13.6522839659952	"GJA9-MYCBP///GJA9///MYCBP"	"GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein"
"224741_x_at"	0.00242316919959214	2.48189255010809e-06	13.5901239544709	"SNORD77///SNORD76///SNORD74///GAS5///SNORD44///SNORD47///SNORD80///SNORD79///SNORD81"	"small nucleolar RNA, C/D box 77///small nucleolar RNA, C/D box 76///small nucleolar RNA, C/D box 74///growth arrest specific 5 (non-protein coding)///small nucleolar RNA, C/D box 44///small nucleolar RNA, C/D box 47///small nucleolar RNA, C/D box 80///small nucleolar RNA, C/D box 79///small nucleolar RNA, C/D box 81"
