node name,Entrez Gene ID,promote proliferation,evade growth repressor,resist cell death,enable replicative immortality,Induce angiogenesis,Activate invasion & metastasis,Reprogramme energy metabolism,Evade immune destruction,Genome instability,Tumor promoting inflammation
EDNRA,1909,1,0,1,0,1,1,0,0,0,1
NBN,4683,1,1,0,1,0,0,0,1,1,0
TGFB1,7040,1,1,1,0,1,1,0,1,0,1
EIF5B,9669,0,0,0,0,0,0,0,0,0,0
RPL11,6135,0,0,0,0,0,0,0,0,0,0
AR,367,1,1,1,0,0,0,0,0,0,0
UBE3A,7337,0,0,0,0,0,0,0,1,0,0
PIK3CB,5291,1,0,0,0,1,1,0,1,0,1
PREX1,57580,0,0,0,0,0,1,0,0,0,0
PRKACG,5568,0,0,0,0,0,0,0,1,0,1
CTNNB1,1499,1,1,1,1,1,1,0,0,0,0
ADRBK1,156,0,1,0,0,1,0,0,1,0,0
ADRB3,155,0,1,0,0,1,0,0,1,0,0
ITGA2B,3674,0,0,0,0,0,1,0,0,0,1
ACTN4,81,0,0,1,0,0,1,0,1,0,0
MCM7,4176,1,0,0,0,0,0,0,0,0,0
CD4,920,1,0,0,0,0,1,0,1,0,0
ITK,3702,1,0,0,0,0,1,0,1,0,0
STAT3,6774,1,1,1,0,0,1,1,0,0,1
MYC,4609,1,1,1,1,0,0,0,0,0,0
ZBTB17,7709,1,1,0,0,0,0,0,0,0,0
NDRG2,57447,1,1,0,0,0,0,0,0,0,0
CSNK2B,1460,1,1,0,0,0,1,0,0,0,0
NFKBIA,4792,1,1,1,0,0,0,0,1,0,0
CHRM1,1128,1,0,0,0,1,0,0,0,0,0
GNA14,9630,0,0,0,0,0,0,0,0,0,1
GNB3,2784,0,0,0,0,1,0,0,0,0,0
PIK3R5,23533,0,0,0,0,0,0,0,0,0,1
SHB,6461,0,0,0,0,1,0,0,0,0,0
SRC,6714,1,1,1,1,1,1,1,1,0,1
EPOR,2057,1,0,1,0,0,1,0,0,0,0
IRS2,8660,1,0,1,0,0,1,1,0,0,0
VWF,7450,0,0,0,0,0,1,0,0,0,1
ITGA8,8516,0,0,0,0,0,1,0,0,0,0
RPL8,6132,0,0,0,0,0,0,0,0,0,0
RPS19,6223,0,0,0,0,0,1,0,1,0,1
CDK4,1019,1,1,1,0,0,0,0,0,0,0
RPA2,6118,1,1,0,1,0,0,0,0,1,0
HES1,3280,1,1,0,0,0,1,0,0,0,0
ID4,3400,1,0,0,0,0,0,0,0,0,0
FOXA2,3170,0,0,0,0,0,1,1,0,0,1
UCP2,7351,0,0,1,0,0,0,0,0,0,0
PIK3CA,5290,0,0,1,0,1,1,1,1,0,1
MAPKAPK5,8550,0,1,0,1,0,0,0,0,0,0
BCL3,602,0,0,1,0,0,1,0,1,0,1
IL1B,3553,1,1,1,0,1,1,0,1,0,1
IFNB1,3456,1,0,1,0,0,1,0,1,0,1
ITGB8,3696,0,0,0,0,0,1,0,0,0,0
PLAUR,5329,0,1,1,0,0,1,0,0,0,1
ITGAV,3685,1,1,1,0,1,1,0,1,0,0
HSPB1,3315,0,1,1,0,1,1,0,0,0,1
PSMD7,5713,1,1,0,0,0,0,0,1,0,0
ADORA2B,136,0,0,0,0,1,0,0,1,0,1
IL6,3569,1,1,1,0,1,1,1,1,0,1
PRKCZ,5590,1,1,1,0,0,1,1,1,0,1
NFATC3,4775,0,0,0,0,0,0,0,1,0,1
PRKAR2A,5576,0,0,0,0,0,0,0,0,0,1
LPAR3,23566,1,0,0,0,0,1,0,0,0,0
RAET1G,353091,0,0,0,0,0,0,0,1,0,0
KLRK1,22914,0,0,1,0,0,1,0,1,0,0
WNT3,7473,1,1,0,0,0,1,0,0,0,0
FZD10,11211,0,0,0,0,0,1,0,0,0,0
HLA-F,3134,0,0,0,0,0,0,0,1,0,0
CD8B,926,0,0,0,0,0,1,0,1,0,0
PPARA,5465,0,0,0,0,1,1,1,0,0,1
CYP7A1,1581,0,0,0,0,0,0,0,0,0,0
PSMA4,5685,1,1,0,0,0,0,0,1,0,0
PSMD8,5714,1,1,0,0,0,0,0,1,0,0
GNAI1,2770,1,0,0,0,0,0,0,0,0,0
BRAF,673,1,0,1,0,0,1,0,0,0,0
ARNT,405,1,0,0,0,0,0,1,0,0,0
TF,7018,0,0,0,0,0,0,0,1,0,0
PSMD3,5709,1,1,0,0,0,0,0,1,0,0
PAAF1,80227,0,0,0,0,0,0,0,0,0,0
TPH1,7166,0,0,0,0,0,0,0,0,0,0
GPR119,139760,0,0,0,0,0,0,0,0,0,0
RAF1,5894,1,1,1,0,0,0,0,1,0,1
PPP1R8,5511,1,0,0,0,0,0,0,0,0,0
NPPC,4880,1,1,0,0,1,0,0,0,0,0
NPPA,4878,1,1,0,0,1,0,0,0,0,0
TRAF6,7189,1,0,1,0,0,1,0,1,0,1
MAP3K5,4217,0,0,1,0,0,0,0,1,0,0
CSNK1E,1454,1,1,0,0,0,0,0,1,1,0
ASAP3,55616,0,0,0,0,0,1,0,0,0,0
EIF3J,8669,0,0,0,0,0,0,0,0,0,0
EIF3I,8668,0,0,0,0,0,0,0,0,0,0
RPSA,3921,0,0,0,0,0,1,0,0,0,0
RPS11,6205,0,0,0,0,0,0,0,0,0,0
LAMA2,3908,0,0,0,0,0,1,0,0,0,0
ITGB4,3691,0,0,0,0,0,1,0,0,0,0
ITGB3,3690,1,0,0,0,1,1,0,0,0,1
PRKCB,5579,1,1,0,0,1,0,0,1,0,1
POLD1,5424,0,0,0,1,0,0,0,0,1,0
RPA1,6117,1,0,0,1,0,0,0,0,1,0
UCHL5,51377,0,0,0,0,0,0,0,0,1,0
PSMB9,5698,1,1,0,0,0,0,0,1,0,0
TRIM28,10155,0,0,0,0,0,1,0,1,1,0
MDM2,4193,1,1,1,0,1,0,1,0,1,0
SLC18A2,6571,0,0,0,0,0,0,0,0,0,0
SNAP25,6616,0,0,0,0,0,1,0,0,0,0
TGFBR2,7048,1,1,0,0,1,1,0,1,0,1
CSDC2,27254,0,0,0,0,0,0,0,0,0,0
LYN,4067,1,1,1,0,0,1,0,1,0,1
EPHA3,2042,0,0,0,0,0,1,0,0,0,0
IL23A,51561,1,0,0,0,0,1,0,1,0,1
IL12RB1,3594,1,0,0,0,0,1,0,1,0,0
DVL3,1857,0,1,0,0,0,0,0,0,0,0
CAMK2A,815,1,0,1,0,0,0,0,1,0,0
RHOA,387,1,0,0,0,1,1,0,0,0,1
EFNB1,1947,1,0,0,0,0,1,0,0,0,0
LCK,3932,1,0,1,0,0,1,0,1,0,1
PSMA8,143471,0,1,0,0,0,0,0,1,0,0
CDC16,8881,1,0,0,0,0,0,0,0,0,0
FLT3,2322,1,0,1,0,0,0,0,0,0,0
KITLG,4254,1,0,1,0,0,1,0,0,0,0
NOTCH2,4853,1,1,1,0,0,0,0,1,0,1
PSEN2,5664,0,0,1,0,0,0,0,0,0,0
TP53,7157,1,1,1,1,0,0,1,0,1,0
PLK4,10733,1,0,0,0,0,0,0,0,0,0
ARHGAP5,394,0,0,0,0,0,1,0,0,0,0
PKN1,5585,1,1,0,0,0,1,0,1,0,0
HDAC5,10014,0,0,0,0,1,1,0,0,0,1
HIST2H4A,8370,0,0,0,0,0,0,0,0,0,0
WNT11,7481,1,1,1,0,0,1,0,0,0,0
GNAS,2778,0,0,0,0,0,1,0,0,0,1
RPL39,6170,0,0,0,0,0,0,0,1,0,0
RPS14,6208,0,0,0,0,0,0,0,0,0,0
GADD45A,1647,1,1,1,0,0,0,0,0,1,0
CCNB2,9133,1,0,0,0,0,0,0,0,0,0
PLD1,5337,0,0,0,0,0,1,0,1,0,0
PRKCA,5578,1,0,1,0,1,1,0,0,0,1
ANAPC4,29945,1,0,0,0,0,0,0,0,0,0
PRKACA,5566,1,1,0,0,1,1,0,1,0,1
FN1,2335,1,0,1,0,1,1,0,0,0,1
IL1R1,3554,0,0,0,0,0,0,0,1,0,1
RELA,5970,1,1,1,0,0,0,0,1,0,1
WEE1,7465,1,0,0,0,0,1,0,0,0,0
EIF4ENIF1,56478,0,0,0,0,0,0,0,0,0,0
RPS25,6230,0,0,0,0,0,0,0,0,0,0
RPS18,6222,0,0,0,0,0,0,0,0,0,0
UBQLN1,29979,0,1,1,0,0,0,1,1,0,0
PSMA6,5687,1,1,0,0,0,0,0,1,0,1
CFLAR,8837,1,1,1,0,0,1,0,0,0,1
RIPK1,8737,0,1,1,0,0,0,0,1,0,0
DOK1,1796,0,0,0,0,0,0,0,0,0,0
MS4A2,2206,0,0,0,0,0,0,0,1,0,1
CD247,919,0,0,0,0,0,1,0,1,0,0
CBL,867,0,1,1,0,0,0,0,1,0,0
MRPS7,51081,0,0,0,0,0,0,0,0,0,0
RPL34,6164,0,0,0,0,0,0,0,0,0,0
SNCA,6622,0,1,1,0,0,0,0,1,0,0
PPP2R5D,5528,0,0,0,0,0,0,0,0,0,0
DOK6,220164,0,0,0,0,0,0,0,0,0,0
GDNF,2668,1,1,1,0,0,1,0,0,0,0
PSMC1,5700,1,1,0,0,0,0,0,1,0,0
PAK2,5062,1,0,1,0,0,1,0,1,0,0
MAPK14,1432,1,1,0,1,1,1,1,0,1,1
UBC,7316,1,1,1,0,0,0,1,1,1,0
RPS2,6187,0,0,0,0,0,0,0,0,0,0
NGF,4803,0,0,1,0,0,1,0,0,0,0
RASA1,5921,1,1,1,0,1,1,0,0,0,0
MEN1,4221,1,1,0,0,0,1,0,0,1,0
NFKB1,4790,0,0,1,0,0,0,0,1,0,1
GTF2H3,2967,0,0,0,0,0,0,0,0,1,0
GTF2H4,2968,0,0,0,0,0,0,0,0,1,0
SP3,6670,0,0,0,0,0,1,0,0,0,0
CA9,768,0,0,0,0,0,0,1,0,0,0
RBBP7,5931,1,1,0,0,0,0,0,0,0,0
H3F3A,3020,1,0,0,1,0,0,0,0,0,1
CASP6,839,0,0,1,0,0,0,0,0,0,0
NUMA1,4926,1,0,0,0,0,1,0,0,0,0
JUN,3725,1,1,1,0,1,1,0,1,0,0
IFNG,3458,1,1,1,0,1,1,0,1,0,0
EIF2S3,1968,0,0,0,0,0,0,0,0,0,0
RPS13,6207,0,0,0,0,0,0,0,0,0,0
ABL2,27,1,0,0,0,0,1,0,1,0,0
HLCS,3141,1,0,0,0,0,0,0,0,0,0
RHOC,389,1,0,0,0,0,1,0,0,0,1
NUTF2,10204,0,0,0,0,0,0,0,0,0,0
KPNA2,3838,0,0,0,0,0,0,0,0,0,0
DAG1,1605,0,1,0,0,0,1,0,0,0,0
NCK1,4690,1,1,1,0,0,1,0,1,0,0
CCND3,896,1,0,0,0,0,1,0,0,0,0
RBL2,5934,1,1,0,0,0,0,0,0,1,0
EDNRB,1910,1,0,1,0,1,1,0,0,0,1
GNB1,2782,1,0,0,0,0,0,1,0,0,1
